Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2014-10-29,22-125,UTA,,HOU,L (-11),0,20:07,1.000,1.000,6.0,16.5,10.4,0.0,2.7,0.0,50.0,4.7,100,118,1.8,-6.1
2,2,2014-10-30,22-126,UTA,@,DAL,L (-18),0,12:30,.727,.667,41.7,30.3,36.6,13.6,0.0,0.0,46.6,23.1,104,132,5.0,-6.1
3,3,2014-11-01,22-128,UTA,,PHO,W (+27),0,17:37,.630,.333,19.9,30.3,25.3,0.0,0.0,4.9,0.0,11.2,162,93,8.2,3.2
4,4,2014-11-03,22-130,UTA,@,LAC,L (-6),0,15:25,.667,.667,8.0,24.0,16.0,10.5,0.0,5.4,25.0,11.9,110,112,4.7,3.0
5,5,2014-11-05,22-132,UTA,,CLE,W (+2),0,13:04,.595,.600,20.4,21.0,20.7,0.0,0.0,19.7,14.5,25.6,112,102,7.4,5.7
6,6,2014-11-07,22-134,UTA,,DAL,L (-23),0,23:31,.694,.750,5.4,9.1,7.4,26.8,4.7,12.8,25.8,16.3,114,106,11.0,12.7
7,7,2014-11-09,22-136,UTA,@,DET,W (+1),0,12:38,.500,.500,0.0,7.3,4.0,13.0,0.0,0.0,0.0,7.7,117,113,2.0,-1.2
8,8,2014-11-10,22-137,UTA,@,IND,L (-11),0,13:11,.543,.000,10.1,32.4,22.5,0.0,0.0,4.9,26.6,14.5,97,104,2.3,-8.0
9,9,2014-11-12,22-139,UTA,@,ATL,L (-3),0,11:58,.615,.500,9.8,22.9,15.8,0.0,4.5,21.5,29.1,13.5,98,95,5.4,5.5
10,10,2014-11-14,22-141,UTA,@,NYK,W (+2),0,16:45,.431,.000,8.2,24.6,16.4,8.0,0.0,7.7,0.0,13.4,121,109,4.3,-3.7
11,11,2014-11-15,22-142,UTA,@,TOR,L (-18),0,17:59,.633,.600,27.4,26.0,26.7,0.0,0.0,4.2,13.7,19.7,126,124,7.8,-1.7
12,12,2014-11-18,22-145,UTA,,OKC,W (+17),0,16:23,1.042,1.000,6.7,21.3,14.8,0.0,3.2,0.0,0.0,8.0,220,84,7.9,7.9
13,13,2014-11-21,22-148,UTA,@,GSW,L (-13),0,17:39,.806,.857,17.0,14.7,16.0,14.6,5.7,9.2,21.2,23.5,117,93,12.7,13.2
14,14,2014-11-22,22-149,UTA,,NOP,L (-12),0,14:20,.868,1.000,18.1,34.2,27.3,0.0,3.7,8.8,25.8,12.8,132,99,7.1,7.6
15,15,2014-11-24,22-151,UTA,,CHI,L (-2),0,13:32,.333,.333,0.0,9.6,4.7,0.0,3.9,13.6,25.0,13.7,52,95,1.2,-5.6
