,Rk,G,Date,Age,Tm,LOC,Opp,RES,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,EVAL,SEASON
175,22,22.0,2018-11-28,26,UTA,away,BRK,10,1,2007.0,10.0,14.0,0.714,0.0,0.0,0.0,3.0,9.0,0.333,6.0,10.0,16.0,3.0,1.0,4.0,1.0,3.0,23.0,25.7,17.0,36.0,2018-2019
176,23,23.0,2018-11-30,26,UTA,away,CHO,8,1,2296.0,8.0,12.0,0.667,0.0,0.0,0.0,4.0,6.0,0.667,2.0,15.0,17.0,2.0,0.0,4.0,2.0,5.0,20.0,20.1,11.0,35.0,2018-2019
177,24,24.0,2018-12-02,26,UTA,away,MIA,-2,1,2235.0,5.0,9.0,0.556,0.0,0.0,0.0,2.0,5.0,0.4,4.0,14.0,18.0,4.0,1.0,3.0,2.0,2.0,12.0,16.6,19.0,29.0,2018-2019
178,25,25.0,2018-12-04,26,UTA,home,SAS,34,1,1736.0,5.0,7.0,0.714,0.0,0.0,0.0,8.0,10.0,0.8,3.0,7.0,10.0,4.0,0.0,3.0,1.0,2.0,18.0,21.6,30.0,30.0,2018-2019
179,26,26.0,2018-12-06,26,UTA,home,HOU,27,1,167.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.3,-3.0,3.0,2018-2019
180,27,27.0,2018-12-09,26,UTA,away,SAS,-13,1,2034.0,5.0,9.0,0.556,0.0,0.0,0.0,2.0,4.0,0.5,3.0,5.0,8.0,7.0,1.0,1.0,2.0,0.0,12.0,15.1,-8.0,21.0,2018-2019
181,28,28.0,2018-12-10,26,UTA,away,OKC,-9,1,1268.0,5.0,8.0,0.625,0.0,0.0,0.0,3.0,4.0,0.75,8.0,6.0,14.0,2.0,0.0,0.0,0.0,5.0,13.0,15.8,-18.0,25.0,2018-2019
182,29,29.0,2018-12-12,26,UTA,home,MIA,27,1,1534.0,4.0,7.0,0.571,0.0,0.0,0.0,2.0,4.0,0.5,0.0,11.0,11.0,2.0,2.0,2.0,0.0,3.0,10.0,12.8,25.0,22.0,2018-2019
183,30,30.0,2018-12-15,26,UTA,away,ORL,-7,1,1974.0,2.0,6.0,0.333,0.0,0.0,0.0,2.0,2.0,1.0,5.0,8.0,13.0,2.0,2.0,2.0,1.0,2.0,6.0,11.5,-3.0,20.0,2018-2019
184,31,31.0,2018-12-17,26,UTA,away,HOU,-5,1,1893.0,6.0,10.0,0.6,0.0,0.0,0.0,6.0,6.0,1.0,5.0,8.0,13.0,4.0,1.0,3.0,1.0,4.0,18.0,22.6,3.0,34.0,2018-2019
185,32,32.0,2018-12-19,26,UTA,home,GSW,5,1,1941.0,6.0,12.0,0.5,0.0,0.0,0.0,5.0,6.0,0.833,4.0,11.0,15.0,1.0,0.0,4.0,2.0,2.0,17.0,17.4,3.0,28.0,2018-2019
186,33,33.0,2018-12-21,26,UTA,away,POR,30,1,1773.0,4.0,9.0,0.444,0.0,0.0,0.0,3.0,3.0,1.0,2.0,9.0,11.0,3.0,0.0,2.0,3.0,3.0,11.0,9.7,13.0,19.0,2018-2019
187,34,34.0,2018-12-22,26,UTA,home,OKC,-1,1,2040.0,8.0,15.0,0.533,0.0,0.0,0.0,4.0,6.0,0.667,3.0,7.0,10.0,0.0,0.0,1.0,0.0,1.0,20.0,16.4,3.0,22.0,2018-2019
188,35,35.0,2018-12-25,26,UTA,home,POR,21,1,1985.0,7.0,10.0,0.7,0.0,0.0,0.0,4.0,9.0,0.444,4.0,10.0,14.0,0.0,1.0,7.0,3.0,3.0,18.0,19.3,10.0,29.0,2018-2019
189,36,36.0,2018-12-27,26,UTA,home,PHI,-17,1,2182.0,5.0,9.0,0.556,0.0,0.0,0.0,7.0,8.0,0.875,5.0,10.0,15.0,5.0,2.0,0.0,3.0,2.0,17.0,20.5,-15.0,31.0,2018-2019
190,37,37.0,2018-12-29,26,UTA,home,NYK,32,1,1498.0,10.0,12.0,0.833,0.0,0.0,0.0,5.0,6.0,0.833,5.0,11.0,16.0,0.0,0.0,1.0,1.0,2.0,25.0,25.9,14.0,38.0,2018-2019
191,38,38.0,2019-01-01,26,UTA,away,TOR,-6,1,1935.0,6.0,7.0,0.857,0.0,0.0,0.0,4.0,5.0,0.8,3.0,6.0,9.0,2.0,2.0,0.0,0.0,3.0,16.0,19.2,-11.0,27.0,2018-2019
192,39,39.0,2019-01-04,26,UTA,away,CLE,26,1,1850.0,4.0,4.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,6.0,7.0,2.0,1.0,5.0,1.0,1.0,12.0,17.8,25.0,26.0,2018-2019
193,40,40.0,2019-01-05,26,UTA,away,DET,5,1,1601.0,4.0,7.0,0.571,0.0,0.0,0.0,1.0,4.0,0.25,3.0,8.0,11.0,3.0,0.0,1.0,1.0,4.0,9.0,9.2,6.0,17.0,2018-2019
194,41,41.0,2019-01-07,26,UTA,away,MIL,-12,1,2315.0,4.0,8.0,0.5,0.0,0.0,0.0,6.0,10.0,0.6,3.0,12.0,15.0,3.0,2.0,1.0,2.0,3.0,14.0,15.7,-14.0,25.0,2018-2019
195,42,42.0,2019-01-09,26,UTA,home,ORL,13,1,2165.0,4.0,8.0,0.5,0.0,0.0,0.0,4.0,4.0,1.0,2.0,12.0,14.0,2.0,1.0,1.0,1.0,4.0,12.0,13.5,12.0,25.0,2018-2019
196,43,43.0,2019-01-11,26,UTA,home,LAL,18,1,1899.0,4.0,10.0,0.4,0.0,0.0,0.0,4.0,8.0,0.5,7.0,11.0,18.0,2.0,2.0,2.0,2.0,4.0,12.0,14.4,18.0,24.0,2018-2019
197,44,44.0,2019-01-12,26,UTA,home,CHI,8,1,2379.0,5.0,6.0,0.833,0.0,0.0,0.0,5.0,9.0,0.556,5.0,11.0,16.0,8.0,1.0,2.0,5.0,5.0,15.0,19.0,19.0,32.0,2018-2019
198,45,45.0,2019-01-14,26,UTA,home,DET,6,1,2163.0,6.0,9.0,0.667,0.0,0.0,0.0,6.0,8.0,0.75,3.0,22.0,25.0,3.0,0.0,2.0,1.0,3.0,18.0,23.3,20.0,42.0,2018-2019
199,46,46.0,2019-01-16,26,UTA,away,LAC,20,1,2015.0,7.0,10.0,0.7,0.0,0.0,0.0,9.0,10.0,0.9,6.0,16.0,22.0,1.0,1.0,4.0,0.0,3.0,23.0,30.7,19.0,47.0,2018-2019
200,47,47.0,2019-01-18,26,UTA,home,CLE,16,1,1598.0,8.0,10.0,0.8,0.0,0.0,0.0,3.0,3.0,1.0,3.0,12.0,15.0,5.0,2.0,2.0,3.0,3.0,19.0,23.6,26.0,38.0,2018-2019
201,48,48.0,2019-01-21,26,UTA,home,POR,-5,0,1986.0,4.0,10.0,0.4,0.0,0.0,0.0,2.0,4.0,0.5,5.0,8.0,13.0,3.0,0.0,4.0,4.0,1.0,10.0,10.2,-5.0,18.0,2018-2019
202,49,49.0,2019-01-23,26,UTA,home,DEN,6,1,2196.0,4.0,11.0,0.364,0.0,0.0,0.0,7.0,9.0,0.778,7.0,3.0,10.0,3.0,0.0,3.0,0.0,3.0,15.0,16.9,16.0,22.0,2018-2019
203,50,50.0,2019-01-25,26,UTA,home,MIN,4,1,2178.0,8.0,12.0,0.667,0.0,0.0,0.0,2.0,4.0,0.5,9.0,7.0,16.0,2.0,2.0,5.0,1.0,2.0,18.0,25.5,15.0,36.0,2018-2019
204,51,51.0,2019-01-27,26,UTA,away,MIN,14,1,1925.0,7.0,8.0,0.875,0.0,0.0,0.0,3.0,6.0,0.5,2.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,17.0,18.7,0.0,24.0,2018-2019
205,52,52.0,2019-01-30,26,UTA,away,POR,-27,1,1598.0,7.0,9.0,0.778,0.0,0.0,0.0,1.0,2.0,0.5,1.0,8.0,9.0,2.0,0.0,2.0,1.0,2.0,15.0,15.2,-26.0,24.0,2018-2019
206,53,53.0,2019-02-01,26,UTA,home,ATL,16,1,1679.0,7.0,7.0,1.0,0.0,0.0,0.0,11.0,15.0,0.733,2.0,11.0,13.0,1.0,0.0,2.0,3.0,5.0,25.0,23.1,10.0,34.0,2018-2019
207,54,54.0,2019-02-02,26,UTA,home,HOU,-27,1,1710.0,3.0,8.0,0.375,0.0,0.0,0.0,4.0,6.0,0.667,5.0,8.0,13.0,1.0,1.0,2.0,1.0,3.0,10.0,11.6,-15.0,19.0,2018-2019
208,55,55.0,2019-02-06,26,UTA,home,PHO,28,1,1970.0,5.0,8.0,0.625,0.0,0.0,0.0,6.0,10.0,0.6,4.0,8.0,12.0,2.0,3.0,3.0,0.0,1.0,16.0,22.1,7.0,29.0,2018-2019
209,56,56.0,2019-02-09,26,UTA,home,SAS,20,1,1846.0,8.0,10.0,0.8,0.0,0.0,0.0,5.0,6.0,0.833,5.0,8.0,13.0,4.0,0.0,2.0,3.0,1.0,21.0,23.5,15.0,34.0,2018-2019
210,57,57.0,2019-02-12,26,UTA,away,GSW,-7,1,2128.0,4.0,5.0,0.8,0.0,0.0,0.0,5.0,6.0,0.833,3.0,13.0,16.0,3.0,0.0,0.0,3.0,3.0,13.0,14.6,-2.0,27.0,2018-2019
211,58,58.0,2019-02-22,26,UTA,away,OKC,-1,1,2639.0,9.0,12.0,0.75,0.0,0.0,0.0,8.0,13.0,0.615,7.0,10.0,17.0,2.0,1.0,3.0,3.0,5.0,26.0,26.6,-7.0,38.0,2018-2019
212,59,59.0,2019-02-23,26,UTA,home,DAL,16,1,1975.0,4.0,8.0,0.5,0.0,0.0,0.0,7.0,8.0,0.875,2.0,10.0,12.0,1.0,0.0,3.0,2.0,3.0,15.0,14.6,11.0,24.0,2018-2019
213,60,60.0,2019-02-27,26,UTA,home,LAC,6,1,2033.0,6.0,9.0,0.667,0.0,0.0,0.0,8.0,10.0,0.8,4.0,9.0,13.0,2.0,0.0,4.0,2.0,5.0,20.0,21.0,9.0,32.0,2018-2019
214,61,61.0,2019-02-28,26,UTA,away,DEN,7,1,1822.0,5.0,8.0,0.625,0.0,0.0,0.0,6.0,11.0,0.545,3.0,5.0,8.0,1.0,0.0,4.0,1.0,5.0,16.0,14.5,-10.0,20.0,2018-2019
215,62,62.0,2019-03-02,26,UTA,home,MIL,4,1,1173.0,2.0,9.0,0.222,0.0,0.0,0.0,1.0,8.0,0.125,5.0,4.0,9.0,1.0,0.0,1.0,1.0,2.0,5.0,1.0,-36.0,1.0,2018-2019
216,63,63.0,2019-03-04,26,UTA,home,NOP,-3,1,2051.0,8.0,11.0,0.727,0.0,0.0,0.0,3.0,4.0,0.75,6.0,13.0,19.0,0.0,0.0,2.0,0.0,3.0,19.0,22.4,-8.0,36.0,2018-2019
217,64,64.0,2019-03-06,26,UTA,away,NOP,10,1,2005.0,10.0,12.0,0.833,0.0,0.0,0.0,2.0,6.0,0.333,2.0,11.0,13.0,1.0,0.0,4.0,4.0,2.0,22.0,19.4,9.0,30.0,2018-2019
218,65,65.0,2019-03-08,26,UTA,away,MEM,-10,1,1987.0,3.0,6.0,0.5,0.0,0.0,0.0,3.0,7.0,0.429,3.0,4.0,7.0,1.0,1.0,5.0,2.0,2.0,9.0,10.1,-8.0,14.0,2018-2019
219,66,66.0,2019-03-11,26,UTA,home,OKC,-9,1,2111.0,5.0,8.0,0.625,0.0,0.0,0.0,5.0,7.0,0.714,3.0,9.0,12.0,1.0,1.0,4.0,1.0,2.0,15.0,18.1,-11.0,27.0,2018-2019
220,67,67.0,2019-03-13,26,UTA,away,PHO,17,1,1939.0,6.0,9.0,0.667,0.0,0.0,0.0,6.0,11.0,0.545,7.0,13.0,20.0,1.0,1.0,0.0,2.0,3.0,18.0,19.4,15.0,30.0,2018-2019
221,68,68.0,2019-03-14,26,UTA,home,MIN,20,1,1697.0,5.0,7.0,0.714,0.0,0.0,0.0,0.0,2.0,0.0,5.0,8.0,13.0,1.0,0.0,2.0,1.0,5.0,10.0,11.3,14.0,21.0,2018-2019
222,69,69.0,2019-03-16,26,UTA,home,BRK,16,1,2046.0,9.0,12.0,0.75,0.0,0.0,0.0,5.0,10.0,0.5,6.0,11.0,17.0,1.0,0.0,3.0,2.0,3.0,23.0,23.3,10.0,34.0,2018-2019
223,70,70.0,2019-03-18,26,UTA,away,WAS,21,1,1891.0,6.0,6.0,1.0,0.0,0.0,0.0,2.0,3.0,0.667,3.0,11.0,14.0,3.0,1.0,2.0,1.0,0.0,14.0,20.7,13.0,32.0,2018-2019
224,71,71.0,2019-03-20,26,UTA,away,NYK,21,1,1534.0,7.0,7.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,6.0,9.0,2.0,1.0,0.0,2.0,2.0,18.0,19.4,22.0,28.0,2018-2019
225,72,72.0,2019-03-21,26,UTA,away,ATL,-3,1,1892.0,4.0,6.0,0.667,0.0,0.0,0.0,4.0,8.0,0.5,3.0,8.0,11.0,3.0,1.0,0.0,2.0,3.0,12.0,12.2,2.0,19.0,2018-2019
226,73,73.0,2019-03-23,26,UTA,away,CHI,31,1,1588.0,9.0,11.0,0.818,0.0,0.0,0.0,3.0,7.0,0.429,6.0,8.0,14.0,2.0,0.0,4.0,0.0,2.0,21.0,25.3,19.0,35.0,2018-2019
227,74,74.0,2019-03-25,26,UTA,home,PHO,33,1,1708.0,9.0,11.0,0.818,0.0,0.0,0.0,9.0,11.0,0.818,4.0,6.0,10.0,0.0,0.0,2.0,1.0,2.0,27.0,26.3,4.0,34.0,2018-2019
228,75,75.0,2019-03-27,26,UTA,home,LAL,15,1,1895.0,9.0,12.0,0.75,0.0,0.0,0.0,4.0,6.0,0.667,3.0,8.0,11.0,0.0,2.0,3.0,0.0,4.0,22.0,23.4,28.0,33.0,2018-2019
229,76,76.0,2019-03-29,26,UTA,home,WAS,4,1,2103.0,4.0,7.0,0.571,0.0,0.0,0.0,5.0,5.0,1.0,3.0,14.0,17.0,3.0,1.0,3.0,3.0,3.0,13.0,17.0,-16.0,31.0,2018-2019
230,77,77.0,2019-04-01,26,UTA,home,CHO,9,1,2341.0,8.0,10.0,0.8,0.0,0.0,0.0,2.0,7.0,0.286,2.0,16.0,18.0,1.0,0.0,3.0,2.0,5.0,18.0,17.2,22.0,31.0,2018-2019
231,78,78.0,2019-04-03,26,UTA,away,PHO,21,1,2189.0,7.0,9.0,0.778,0.0,0.0,0.0,3.0,5.0,0.6,4.0,9.0,13.0,3.0,0.0,5.0,4.0,3.0,17.0,18.6,12.0,30.0,2018-2019
232,79,79.0,2019-04-05,26,UTA,home,SAC,21,1,1766.0,6.0,10.0,0.6,0.0,0.0,0.0,5.0,8.0,0.625,3.0,8.0,11.0,1.0,3.0,4.0,2.0,5.0,17.0,18.2,12.0,27.0,2018-2019
233,80,80.0,2019-04-07,26,UTA,away,LAL,-4,1,2166.0,8.0,11.0,0.727,0.0,0.0,0.0,5.0,8.0,0.625,6.0,4.0,10.0,2.0,0.0,2.0,2.0,3.0,21.0,20.3,4.0,27.0,2018-2019
234,81,81.0,2019-04-09,26,UTA,home,DEN,10,1,2071.0,7.0,12.0,0.583,0.0,0.0,0.0,6.0,9.0,0.667,2.0,8.0,10.0,1.0,1.0,2.0,0.0,1.0,20.0,19.7,26.0,26.0,2018-2019
235,82,-1.0,2019-04-10,26,UTA,away,LAC,-6,Inactive,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,2018-2019
236,1,1.0,2019-10-23,27,UTA,home,OKC,5,1,2275.0,3.0,6.0,0.5,0.0,0.0,0.0,1.0,3.0,0.333,3.0,11.0,14.0,0.0,0.0,1.0,4.0,5.0,7.0,3.3,13.0,13.0,2019-2020
237,2,2.0,2019-10-25,27,UTA,away,LAL,-9,1,1944.0,4.0,8.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,9.0,3.0,2.0,0.0,3.0,3.0,8.0,6.2,-2.0,14.0,2019-2020
238,3,3.0,2019-10-26,27,UTA,home,SAC,32,1,1503.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,2.0,0.0,1.0,4.0,3.0,6.0,4.2,16.0,11.0,2019-2020
239,4,4.0,2019-10-28,27,UTA,away,PHO,1,1,2132.0,2.0,4.0,0.5,0.0,0.0,0.0,11.0,12.0,0.917,2.0,16.0,18.0,1.0,3.0,1.0,5.0,3.0,15.0,17.0,13.0,30.0,2019-2020
240,5,5.0,2019-10-30,27,UTA,home,LAC,14,1,1958.0,5.0,7.0,0.714,0.0,0.0,0.0,3.0,8.0,0.375,0.0,7.0,7.0,0.0,1.0,2.0,1.0,3.0,13.0,10.4,3.0,15.0,2019-2020
241,6,6.0,2019-11-01,27,UTA,away,SAC,-1,1,2280.0,5.0,6.0,0.833,0.0,0.0,0.0,5.0,7.0,0.714,5.0,11.0,16.0,0.0,1.0,3.0,3.0,2.0,15.0,18.1,-7.0,29.0,2019-2020
242,7,7.0,2019-11-03,27,UTA,away,LAC,-11,1,2043.0,4.0,8.0,0.5,0.0,0.0,0.0,4.0,6.0,0.667,2.0,12.0,14.0,0.0,0.0,0.0,0.0,4.0,12.0,10.6,3.0,20.0,2019-2020
243,8,8.0,2019-11-06,27,UTA,home,PHI,2,1,2168.0,4.0,8.0,0.5,0.0,0.0,0.0,6.0,8.0,0.75,4.0,12.0,16.0,3.0,3.0,1.0,0.0,6.0,14.0,19.0,9.0,31.0,2019-2020
244,9,9.0,2019-11-08,27,UTA,home,MIL,3,1,2191.0,1.0,2.0,0.5,0.0,0.0,0.0,6.0,10.0,0.6,3.0,14.0,17.0,0.0,0.0,1.0,3.0,5.0,8.0,7.4,4.0,18.0,2019-2020
245,10,10.0,2019-11-11,27,UTA,away,GSW,14,1,2070.0,11.0,12.0,0.917,0.0,0.0,0.0,3.0,9.0,0.333,2.0,12.0,14.0,1.0,1.0,2.0,0.0,3.0,25.0,25.5,15.0,36.0,2019-2020
246,11,11.0,2019-11-12,27,UTA,home,BRK,5,1,2253.0,8.0,10.0,0.8,0.0,0.0,0.0,2.0,4.0,0.5,4.0,11.0,15.0,2.0,2.0,2.0,2.0,2.0,18.0,21.5,0.0,33.0,2019-2020
247,12,12.0,2019-11-15,27,UTA,away,MEM,-1,1,2189.0,9.0,11.0,0.818,0.0,0.0,0.0,5.0,7.0,0.714,7.0,10.0,17.0,1.0,0.0,5.0,3.0,1.0,23.0,26.8,10.0,39.0,2019-2020
248,13,13.0,2019-11-18,27,UTA,home,MIN,-10,1,2172.0,5.0,8.0,0.625,0.0,0.0,0.0,6.0,7.0,0.857,5.0,9.0,14.0,1.0,1.0,1.0,2.0,5.0,16.0,16.6,-10.0,27.0,2019-2020
249,14,14.0,2019-11-20,27,UTA,away,MIN,8,1,2120.0,5.0,8.0,0.625,0.0,0.0,0.0,2.0,3.0,0.667,3.0,12.0,15.0,1.0,0.0,5.0,3.0,3.0,12.0,13.7,9.0,26.0,2019-2020
250,15,15.0,2019-11-22,27,UTA,home,GSW,4,1,2073.0,3.0,8.0,0.375,0.0,0.0,0.0,2.0,2.0,1.0,5.0,14.0,19.0,1.0,1.0,7.0,3.0,2.0,8.0,14.1,1.0,28.0,2019-2020
251,16,-1.0,2019-11-23,27,UTA,home,NOP,8,Did Not Play,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,2019-2020
252,17,-1.0,2019-11-25,27,UTA,away,MIL,-4,Inactive,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,2019-2020
253,18,16.0,2019-11-27,27,UTA,away,IND,-19,1,1818.0,5.0,9.0,0.556,0.0,0.0,0.0,4.0,6.0,0.667,5.0,8.0,13.0,0.0,1.0,1.0,2.0,5.0,14.0,12.5,-13.0,21.0,2019-2020
254,19,17.0,2019-11-29,27,UTA,away,MEM,9,1,2153.0,6.0,11.0,0.545,0.0,0.0,0.0,1.0,2.0,0.5,4.0,9.0,13.0,3.0,0.0,2.0,0.0,1.0,13.0,15.9,14.0,25.0,2019-2020
255,20,18.0,2019-12-01,27,UTA,away,TOR,-20,1,1705.0,4.0,7.0,0.571,0.0,0.0,0.0,4.0,8.0,0.5,4.0,7.0,11.0,1.0,0.0,1.0,3.0,2.0,12.0,9.6,-21.0,15.0,2019-2020
256,21,19.0,2019-12-02,27,UTA,away,PHI,-9,1,2187.0,11.0,15.0,0.733,0.0,0.0,0.0,5.0,10.0,0.5,5.0,7.0,12.0,2.0,0.0,3.0,1.0,2.0,27.0,26.2,-3.0,34.0,2019-2020
257,22,20.0,2019-12-04,27,UTA,home,LAL,-25,1,1621.0,6.0,8.0,0.75,0.0,0.0,0.0,1.0,3.0,0.333,4.0,6.0,10.0,2.0,1.0,0.0,2.0,3.0,13.0,12.8,-8.0,20.0,2019-2020
258,23,21.0,2019-12-07,27,UTA,home,MEM,14,1,1840.0,8.0,9.0,0.889,0.0,0.0,0.0,3.0,4.0,0.75,2.0,9.0,11.0,5.0,0.0,0.0,1.0,4.0,19.0,20.5,14.0,32.0,2019-2020
259,24,22.0,2019-12-09,27,UTA,home,OKC,-14,1,1980.0,9.0,10.0,0.9,0.0,0.0,0.0,1.0,2.0,0.5,4.0,13.0,17.0,1.0,0.0,0.0,4.0,3.0,19.0,17.4,-9.0,31.0,2019-2020
260,25,23.0,2019-12-11,27,UTA,away,MIN,11,1,2187.0,8.0,11.0,0.727,0.0,0.0,0.0,4.0,7.0,0.571,7.0,9.0,16.0,3.0,2.0,2.0,3.0,2.0,20.0,23.6,-1.0,34.0,2019-2020
261,26,24.0,2019-12-13,27,UTA,home,GSW,8,1,2184.0,6.0,9.0,0.667,0.0,0.0,0.0,3.0,4.0,0.75,3.0,12.0,15.0,2.0,0.0,2.0,0.0,3.0,15.0,18.0,25.0,30.0,2019-2020
262,27,25.0,2019-12-17,27,UTA,home,ORL,7,1,2248.0,6.0,10.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,19.0,5.0,0.0,0.0,3.0,2.0,12.0,14.4,11.0,29.0,2019-2020
263,28,26.0,2019-12-19,27,UTA,away,ATL,5,1,2225.0,5.0,9.0,0.556,0.0,0.0,0.0,10.0,19.0,0.526,4.0,9.0,13.0,1.0,0.0,3.0,3.0,2.0,20.0,16.6,16.0,21.0,2019-2020
264,29,27.0,2019-12-21,27,UTA,away,CHO,7,1,2205.0,6.0,9.0,0.667,0.0,0.0,0.0,5.0,5.0,1.0,5.0,14.0,19.0,1.0,1.0,3.0,2.0,3.0,17.0,21.4,16.0,36.0,2019-2020
265,30,28.0,2019-12-23,27,UTA,away,MIA,-3,1,2169.0,9.0,11.0,0.818,0.0,0.0,0.0,0.0,1.0,0.0,5.0,14.0,19.0,0.0,1.0,5.0,1.0,3.0,18.0,23.5,-3.0,39.0,2019-2020
266,31,29.0,2019-12-26,27,UTA,home,POR,6,1,2140.0,7.0,7.0,1.0,0.0,0.0,0.0,2.0,6.0,0.333,4.0,11.0,15.0,2.0,0.0,1.0,0.0,3.0,16.0,19.3,13.0,30.0,2019-2020
267,32,30.0,2019-12-28,27,UTA,away,LAC,13,1,2179.0,4.0,6.0,0.667,0.0,0.0,0.0,4.0,5.0,0.8,1.0,7.0,8.0,0.0,0.0,1.0,1.0,2.0,12.0,10.7,14.0,17.0,2019-2020
268,33,31.0,2019-12-30,27,UTA,home,DET,23,1,2088.0,6.0,11.0,0.545,0.0,0.0,0.0,1.0,1.0,1.0,4.0,15.0,19.0,1.0,2.0,3.0,4.0,5.0,13.0,13.8,19.0,29.0,2019-2020
269,34,32.0,2020-01-02,27,UTA,away,CHI,4,1,2117.0,8.0,11.0,0.727,0.0,0.0,0.0,1.0,2.0,0.5,2.0,10.0,12.0,0.0,0.0,3.0,2.0,4.0,17.0,15.0,-4.0,26.0,2019-2020
270,35,33.0,2020-01-04,27,UTA,away,ORL,13,1,2014.0,3.0,8.0,0.375,0.0,0.0,0.0,2.0,4.0,0.5,7.0,10.0,17.0,4.0,1.0,0.0,0.0,3.0,8.0,13.3,10.0,23.0,2019-2020
271,36,34.0,2020-01-06,27,UTA,away,NOP,2,1,2048.0,4.0,10.0,0.4,0.0,0.0,0.0,1.0,2.0,0.5,4.0,15.0,19.0,1.0,0.0,0.0,2.0,4.0,9.0,7.6,1.0,20.0,2019-2020
272,37,35.0,2020-01-08,27,UTA,home,NYK,24,1,1560.0,5.0,5.0,1.0,0.0,0.0,0.0,6.0,10.0,0.6,3.0,13.0,16.0,4.0,1.0,1.0,1.0,2.0,16.0,21.6,33.0,33.0,2019-2020
273,38,36.0,2020-01-10,27,UTA,home,CHO,17,1,1747.0,6.0,10.0,0.6,0.0,0.0,0.0,3.0,4.0,0.75,2.0,11.0,13.0,3.0,1.0,5.0,1.0,0.0,15.0,20.3,25.0,31.0,2019-2020
274,39,37.0,2020-01-12,27,UTA,away,WAS,11,1,2251.0,8.0,10.0,0.8,0.0,0.0,0.0,5.0,9.0,0.556,5.0,9.0,14.0,2.0,1.0,2.0,3.0,5.0,21.0,20.6,15.0,31.0,2019-2020
275,40,38.0,2020-01-14,27,UTA,away,BRK,11,1,2193.0,9.0,12.0,0.75,0.0,0.0,0.0,4.0,6.0,0.667,4.0,14.0,18.0,3.0,1.0,2.0,0.0,3.0,22.0,26.7,11.0,41.0,2019-2020
276,41,39.0,2020-01-16,27,UTA,away,NOP,-6,1,2335.0,6.0,10.0,0.6,0.0,0.0,0.0,5.0,9.0,0.556,4.0,10.0,14.0,4.0,0.0,3.0,1.0,6.0,17.0,18.1,3.0,29.0,2019-2020
277,42,40.0,2020-01-18,27,UTA,home,SAC,22,1,2019.0,9.0,11.0,0.818,0.0,0.0,0.0,10.0,11.0,0.909,3.0,12.0,15.0,0.0,2.0,3.0,1.0,4.0,28.0,30.7,32.0,44.0,2019-2020
278,43,41.0,2020-01-20,27,UTA,home,IND,30,1,1866.0,8.0,11.0,0.727,0.0,0.0,0.0,4.0,4.0,1.0,3.0,11.0,14.0,2.0,0.0,1.0,1.0,0.0,20.0,22.0,24.0,33.0,2019-2020
279,44,42.0,2020-01-22,27,UTA,away,GSW,33,1,1816.0,10.0,13.0,0.769,0.0,0.0,0.0,2.0,7.0,0.286,6.0,9.0,15.0,2.0,1.0,3.0,1.0,2.0,22.0,24.5,31.0,34.0,2019-2020
280,45,43.0,2020-01-25,27,UTA,home,DAL,5,1,2224.0,8.0,8.0,1.0,0.0,0.0,0.0,6.0,9.0,0.667,4.0,13.0,17.0,2.0,0.0,5.0,4.0,5.0,22.0,24.0,2.0,39.0,2019-2020
281,46,44.0,2020-01-27,27,UTA,home,HOU,-9,1,2229.0,3.0,5.0,0.6,0.0,0.0,0.0,6.0,10.0,0.6,1.0,13.0,14.0,0.0,1.0,2.0,1.0,2.0,12.0,13.3,-15.0,22.0,2019-2020
282,47,45.0,2020-01-29,27,UTA,away,SAS,-7,1,1940.0,4.0,7.0,0.571,0.0,0.0,0.0,9.0,18.0,0.5,8.0,11.0,19.0,0.0,0.0,0.0,4.0,4.0,17.0,13.4,6.0,20.0,2019-2020
283,48,46.0,2020-01-30,27,UTA,away,DEN,-6,1,2238.0,9.0,10.0,0.9,0.0,0.0,0.0,3.0,6.0,0.5,2.0,9.0,11.0,1.0,1.0,3.0,4.0,4.0,21.0,18.7,3.0,29.0,2019-2020
