Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2017-10-18,25-114,UTA,,DEN,W (+10),1,35:01,.836,.778,11.1,25.9,18.5,4.4,0.0,2.7,35.8,22.3,107,104,12.5,-2.3
2,2,2017-10-20,25-116,UTA,@,MIN,L (-3),1,32:58,.500,.500,14.2,32.0,23.1,0.0,3.1,4.9,23.1,18.3,87,97,10.1,-2.3
3,3,2017-10-21,25-117,UTA,,OKC,W (+9),1,32:30,.727,.727,12.0,35.2,24.3,11.3,1.6,0.0,8.3,17.5,140,92,16.4,7.4
4,4,2017-10-24,25-120,UTA,@,LAC,L (-18),1,31:17,.949,1.000,7.5,17.4,12.6,11.7,0.0,8.5,13.7,11.0,166,109,15.1,8.8
5,5,2017-10-25,25-121,UTA,@,PHO,L (-9),1,36:13,.639,.556,2.9,32.5,18.7,5.2,0.0,8.6,24.2,19.7,98,88,14.9,2.9
6,6,2017-10-28,25-124,UTA,,LAL,W (+15),1,35:27,.510,.600,10.4,13.8,12.3,0.0,0.0,6.9,14.5,8.8,102,92,6.4,-1.3
7,7,2017-10-30,25-126,UTA,,DAL,W (+15),1,33:14,.754,.667,11.1,34.2,22.5,26.9,3.1,16.7,21.0,20.3,141,82,24.6,16.0
8,8,2017-11-01,25-128,UTA,,POR,W (+9),1,38:20,.617,.556,5.3,19.8,12.8,5.1,0.0,7.0,13.4,17.3,116,95,14.3,2.7
9,9,2017-11-03,25-130,UTA,,TOR,L (-9),1,34:35,.638,.600,12.6,14.9,13.5,0.0,0.0,6.8,7.8,17.1,132,121,13.3,2.0
10,10,2017-11-05,25-132,UTA,@,HOU,L (-27),1,25:15,.568,.545,8.4,19.0,12.7,7.1,0.0,0.0,0.0,19.5,123,138,9.9,-2.7
11,11,2017-11-07,25-134,UTA,,PHI,L (-7),1,35:43,.602,.500,13.0,31.0,20.0,5.5,2.5,7.5,13.1,16.2,121,92,18.5,5.8
12,12,2017-11-10,25-137,UTA,,MIA,L (-10),1,35:16,.652,.571,3.0,34.8,18.6,0.0,0.0,5.2,9.8,13.8,120,87,11.5,3.3
13,,2017-11-11,25-138,UTA,,BRK,W (+8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
14,,2017-11-13,25-140,UTA,,MIN,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,,2017-11-15,25-142,UTA,@,NYK,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,2017-11-17,25-144,UTA,@,BRK,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,2017-11-18,25-145,UTA,@,ORL,W (+40),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
