Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
32,32,2024-12-31,32-188,MIN,@,OKC,L (-8),1,31:05:00,3,6,.500,0,0,,2,2,1.000,2,5,7,1,0,2,1,2,8,8.2,+3
33,33,2025-01-02,32-190,MIN,,BOS,L (-3),1,27:50:00,3,5,.600,0,0,,0,0,,3,4,7,0,0,0,0,1,6,6.6,-6
34,34,2025-01-04,32-192,MIN,@,DET,L (-14),1,29:32:00,3,6,.500,0,0,,0,2,.000,2,4,6,0,0,2,3,2,6,2.4,-2
35,35,2025-01-06,32-194,MIN,,LAC,W (+2),1,37:52:00,3,8,.375,0,0,,2,5,.400,8,10,18,2,0,1,2,3,8,9.9,+8
36,36,2025-01-07,32-195,MIN,@,NOP,W (+7),1,35:25:00,3,4,.750,0,0,,1,2,.500,2,12,14,4,0,6,2,4,7,13.4,-6
37,37,2025-01-09,32-197,MIN,@,ORL,W (+15),1,31:41:00,5,8,.625,0,0,,0,2,.000,4,8,12,1,1,0,0,2,10,11.7,+14
38,38,2025-01-11,32-199,MIN,,MEM,L (-2),1,28:40:00,6,6,1.000,0,0,,0,2,.000,2,2,4,4,0,1,0,3,12,13.7,+3
39,39,2025-01-13,32-201,MIN,@,WAS,W (+14),1,32:34:00,5,6,.833,0,0,,1,2,.500,5,6,11,2,1,1,0,1,11,16.4,+11
40,40,2025-01-15,32-203,MIN,,GSW,L (-1),1,29:29:00,2,2,1.000,0,0,,3,5,.600,2,8,10,1,0,2,1,2,7,9.7,-4
41,41,2025-01-17,32-205,MIN,@,NYK,W (+17),1,34:26:00,5,6,.833,0,0,,1,2,.500,1,5,6,1,0,2,1,2,11,10.9,+9
42,42,2025-01-18,32-206,MIN,,CLE,L (-7),1,31:18:00,6,7,.857,0,0,,5,6,.833,2,10,12,1,0,0,0,1,17,18.8,+1
