Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-22,32-118,MIN,@,LAL,L (-7),1,35:20:00,5,8,.625,0,0,,3,4,.750,3,11,14,2,0,1,1,4,13,13.9,-10
2,2,2024-10-24,32-120,MIN,@,SAC,W (+2),1,34:38:00,1,2,.500,0,0,,1,2,.500,1,10,11,1,2,0,3,4,3,3.4,-6
3,3,2024-10-26,32-122,MIN,,TOR,W (+11),1,38:59:00,6,8,.750,0,0,,3,4,.750,2,10,12,1,1,4,1,3,15,18.1,+20
4,4,2024-10-29,32-125,MIN,,DAL,L (-6),1,31:11:00,2,5,.400,0,0,,3,5,.600,4,4,8,1,0,0,2,3,7,5.0,-8
5,5,2024-11-01,32-128,MIN,,DEN,W (+3),1,35:58:00,7,10,.700,0,0,,3,4,.750,4,10,14,3,1,2,2,3,17,19.5,+7
6,6,2024-11-02,32-129,MIN,@,SAS,L (-10),1,23:06,3,8,.375,0,0,,4,4,1.000,1,2,3,1,0,0,0,2,10,6.8,-8
7,7,2024-11-04,32-131,MIN,,CHO,W (+21),1,29:51:00,4,5,.800,0,0,,0,0,,2,6,8,4,0,1,1,2,8,11.0,+15
8,8,2024-11-07,32-134,MIN,@,CHI,W (+16),1,31:47:00,9,11,.818,0,0,,3,3,1.000,3,6,9,3,0,1,2,4,21,20.0,+23
9,9,2024-11-08,32-135,MIN,,POR,W (+25),1,22:32,4,5,.800,0,0,,0,0,,4,11,15,2,0,3,2,5,8,11.7,+18
10,10,2024-11-10,32-137,MIN,,MIA,L (-1),1,32:30:00,2,4,.500,0,0,,3,3,1.000,6,7,13,1,1,2,2,1,7,12.0,-4
11,11,2024-11-12,32-139,MIN,@,POR,L (-14),1,32:47:00,2,3,.667,0,0,,5,6,.833,0,8,8,4,1,1,4,2,9,9.4,-7
12,12,2024-11-13,32-140,MIN,@,POR,L (-8),1,33:32:00,4,8,.500,0,0,,4,5,.800,7,3,10,0,0,0,1,3,12,11.2,-8
13,13,2024-11-15,32-142,MIN,@,SAC,W (+4),1,40:59:00,5,7,.714,0,0,,1,1,1.000,3,8,11,2,0,3,1,2,11,14.3,+11
14,14,2024-11-17,32-144,MIN,,PHO,W (+3),1,36:48:00,4,8,.500,0,0,,3,4,.750,4,6,10,2,0,4,3,2,11,11.6,+4
15,15,2024-11-21,32-148,MIN,@,TOR,L (-5),1,35:42:00,4,5,.800,0,0,,5,6,.833,4,7,11,2,1,2,3,3,13,15.2,0
16,16,2024-11-24,32-151,MIN,@,BOS,L (-2),1,34:29:00,4,5,.800,0,0,,2,2,1.000,8,12,20,0,0,0,0,2,10,16.5,-4
17,17,2024-11-26,32-153,MIN,,HOU,L (-6),1,43:49:00,2,3,.667,0,0,,1,2,.500,3,13,16,2,0,1,1,5,5,8.4,+4
18,18,2024-11-27,32-154,MIN,,SAC,L (-11),1,36:55:00,2,2,1.000,0,0,,5,6,.833,2,5,7,3,0,4,0,3,9,14.6,-9
19,19,2024-11-29,32-156,MIN,,LAC,W (+1),1,42:45:00,3,7,.429,0,0,,2,4,.500,4,8,12,3,1,1,3,3,8,8.3,+9
20,20,2024-12-02,32-159,MIN,,LAL,W (+29),1,32:11:00,7,8,.875,0,0,,3,4,.750,6,6,12,0,1,0,2,3,17,17.6,+17
21,21,2024-12-04,32-161,MIN,@,LAC,W (+28),1,29:28:00,3,4,.750,0,0,,2,2,1.000,1,8,9,7,5,1,0,2,8,19.3,+21
22,22,2024-12-06,32-163,MIN,@,GSW,W (+17),1,35:12:00,6,10,.600,0,0,,5,5,1.000,2,9,11,1,1,0,3,3,17,14.0,+19
23,23,2024-12-08,32-165,MIN,@,GSW,L (-8),1,37:53:00,1,3,.333,0,0,,2,4,.500,1,8,9,1,1,3,2,3,4,5.2,-12
24,24,2024-12-13,32-170,MIN,,LAL,W (+10),1,37:48:00,5,8,.625,0,0,,2,4,.500,5,8,13,2,1,1,0,1,12,16.2,+3
25,25,2024-12-15,32-172,MIN,@,SAS,W (+14),1,34:45:00,5,11,.455,0,0,,0,1,.000,4,5,9,2,1,1,2,2,10,8.5,+8
26,26,2024-12-19,32-176,MIN,,NYK,L (-26),1,22:18,1,1,1.000,0,0,,1,4,.250,1,3,4,0,2,0,0,2,3,4.3,-37
27,27,2024-12-21,32-178,MIN,,GSW,L (-10),1,36:50:00,7,8,.875,0,0,,4,7,.571,2,10,12,2,1,1,1,0,18,20.5,-3
28,28,2024-12-23,32-180,MIN,@,ATL,L (-13),1,28:19:00,1,4,.250,0,0,,0,0,,2,4,6,0,0,1,3,1,2,-0.5,-16
29,29,2024-12-25,32-182,MIN,@,DAL,W (+6),1,39:26:00,6,7,.857,0,0,,2,2,1.000,2,8,10,0,1,2,1,3,14,15.5,+8
30,30,2024-12-27,32-184,MIN,@,HOU,W (+1),1,28:37:00,3,5,.600,0,0,,1,6,.167,5,4,9,0,0,2,0,2,7,8.0,-18
31,31,2024-12-29,32-186,MIN,,SAS,W (+2),1,30:33:00,6,12,.500,0,0,,5,6,.833,11,4,15,2,0,2,1,4,17,19.7,-1
