Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-22,32-118,MIN,@,LAL,L (-7),1,35:20,.666,.625,9.5,29.9,20.5,9.6,0.0,2.1,9.3,12.9,139,109,13.9,3.8
2,2,2024-10-24,32-120,MIN,@,SAC,W (+2),1,34:38,.521,.500,3.5,34.6,19.1,3.5,2.7,0.0,51.0,7.4,68,108,3.4,-3.9
3,3,2024-10-26,32-122,MIN,,TOR,W (+11),1,38:59,.768,.750,5.7,28.0,17.0,3.9,1.2,8.1,9.3,12.3,144,96,18.1,2.9
4,4,2024-10-29,32-125,MIN,,DAL,L (-6),1,31:11,.486,.400,15.8,14.3,15.0,4.3,0.0,0.0,21.7,13.1,105,128,5.0,-8.6
5,5,2024-11-01,32-128,MIN,,DEN,W (+3),1,35:58,.723,.700,14.4,28.4,22.2,11.9,1.4,4.4,14.5,17.0,139,111,19.5,3.3
6,6,2024-11-02,32-129,MIN,@,SAS,L (-10),1,23:06,.512,.375,4.8,12.6,8.2,6.3,0.0,0.0,0.0,19.5,115,124,6.8,-4.7
7,7,2024-11-04,32-131,MIN,,CHO,W (+21),1,29:51,.800,.800,8.5,21.4,15.5,19.8,0.0,3.5,16.7,9.2,159,99,11.0,5.0
8,8,2024-11-07,32-134,MIN,@,CHI,W (+16),1,31:47,.852,.818,14.2,22.7,18.9,12.1,0.0,2.9,14.0,18.9,157,123,20.0,4.5
9,9,2024-11-08,32-135,MIN,,POR,W (+25),1,22:32,.800,.800,24.3,45.9,37.2,11.1,0.0,9.7,28.6,12.1,134,85,11.7,3.9
10,10,2024-11-10,32-137,MIN,,MIA,L (-1),1,32:30,.658,.500,16.7,27.9,21.3,4.6,1.5,6.4,27.3,9.5,123,94,12.0,0.3
11,11,2024-11-12,32-139,MIN,@,POR,L (-14),1,32:47,.798,.667,0.0,30.0,16.5,17.2,1.5,2.8,41.5,13.3,108,120,9.4,-0.5
12,12,2024-11-13,32-140,MIN,@,POR,L (-8),1,33:32,.588,.500,20.4,11.0,16.3,0.0,0.0,0.0,8.9,13.6,130,114,11.2,-3.9
13,13,2024-11-15,32-142,MIN,@,SAC,W (+4),1,40:59,.739,.714,7.8,24.6,15.5,6.2,0.0,6.6,11.8,9.2,148,118,14.3,0.9
14,14,2024-11-17,32-144,MIN,,PHO,W (+3),1,36:48,.564,.500,13.7,22.4,17.9,7.1,0.0,9.7,23.5,15.8,110,119,11.6,-4.3
15,15,2024-11-21,32-148,MIN,@,TOR,L (-5),1,35:42,.851,.800,12.5,23.5,17.8,9.7,1.4,5.5,28.2,12.8,136,112,15.2,3.2
16,16,2024-11-24,32-151,MIN,@,BOS,L (-2),1,34:29,.850,.800,25.9,36.3,31.3,0.0,0.0,0.0,0.0,7.8,196,114,16.5,4.3
17,17,2024-11-26,32-153,MIN,,HOU,L (-6),1,43:49,.644,.667,7.1,34.9,20.2,6.1,0.0,2.0,20.5,4.8,129,109,8.4,-1.2
18,18,2024-11-27,32-154,MIN,,SAC,L (-11),1,36:55,.970,1.000,6.7,15.9,11.4,12.8,0.0,9.1,0.0,6.0,216,117,14.6,3.5
19,19,2024-11-29,32-156,MIN,,LAC,W (+1),1,42:45,.457,.429,10.7,19.5,15.3,12.2,1.2,2.1,25.5,12.5,93,98,8.3,-3.3
20,20,2024-12-02,32-159,MIN,,LAL,W (+29),1,32:11,.871,.875,24.2,19.9,21.8,0.0,1.6,0.0,17.0,17.1,151,85,17.6,3.9
21,21,2024-12-04,32-161,MIN,@,LAC,W (+28),1,29:28,.820,.750,3.8,24.6,15.3,31.6,8.2,3.8,0.0,7.4,194,64,19.3,19.2
22,22,2024-12-06,32-163,MIN,@,GSW,W (+17),1,35:12,.697,.600,6.8,25.0,16.9,4.3,1.3,0.0,19.7,18.0,116,90,14.0,-1.2
23,23,2024-12-08,32-165,MIN,@,GSW,L (-8),1,37:53,.420,.333,3.3,22.0,13.6,3.6,1.3,7.8,29.6,8.3,77,114,5.2,-5.9
24,24,2024-12-13,32-170,MIN,,LAL,W (+10),1,37:48,.615,.625,13.0,19.5,16.3,8.9,1.3,2.5,0.0,11.1,144,88,16.2,4.6
25,25,2024-12-15,32-172,MIN,@,SAS,W (+14),1,34:45,.437,.455,10.6,14.1,12.3,8.3,1.4,3.0,14.9,15.6,92,94,8.5,-3.5
