Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2017-10-18,25-114,UTA,,DEN,W (+10),1,35:01:00,7,9,.778,0,0,,4,4,1.000,3,7,10,1,0,1,6,4,18,12.5,-14
2,2,2017-10-20,25-116,UTA,@,MIN,L (-3),1,32:58:00,5,10,.500,0,0,,0,0,,4,9,13,0,2,2,3,2,10,10.1,-15
3,3,2017-10-21,25-117,UTA,,OKC,W (+9),1,32:30:00,8,11,.727,0,0,,0,0,,3,10,13,2,1,0,1,4,16,16.4,-2
4,4,2017-10-24,25-120,UTA,@,LAC,L (-18),1,31:17:00,5,5,1.000,0,0,,2,3,.667,2,5,7,2,0,3,1,1,12,15.1,-26
5,5,2017-10-25,25-121,UTA,@,PHO,L (-9),1,36:13:00,5,9,.556,0,0,,6,8,.750,1,13,14,1,0,5,4,2,16,14.9,0
6,6,2017-10-28,25-124,UTA,,LAL,W (+15),1,35:27:00,3,5,.600,0,0,,0,2,.000,3,5,8,0,0,3,1,3,6,6.4,+22
7,7,2017-10-30,25-126,UTA,,DAL,W (+15),1,33:14:00,4,6,.667,0,0,,9,12,.750,3,9,12,6,2,6,3,2,17,24.6,+32
8,8,2017-11-01,25-128,UTA,,POR,W (+9),1,38:20:00,5,9,.556,0,0,,6,9,.667,2,8,10,1,0,3,2,2,16,14.3,0
9,9,2017-11-03,25-130,UTA,,TOR,L (-9),1,34:35:00,6,10,.600,0,0,,3,4,.750,4,3,7,0,0,2,1,2,15,13.3,-5
10,10,2017-11-05,25-132,UTA,@,HOU,L (-27),1,25:15:00,6,11,.545,0,0,,1,1,1.000,2,3,5,1,0,0,0,2,13,9.9,-16
11,11,2017-11-07,25-134,UTA,,PHI,L (-7),1,35:43:00,4,8,.500,0,0,,8,12,.667,6,9,15,1,2,3,2,4,16,18.5,-18
12,12,2017-11-10,25-137,UTA,,MIA,L (-10),1,35:16:00,4,7,.571,0,0,,4,5,.800,1,11,12,0,0,2,1,3,12,11.5,-12
13,,2017-11-11,25-138,UTA,,BRK,W (+8),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
14,,2017-11-13,25-140,UTA,,MIN,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
15,,2017-11-15,25-142,UTA,@,NYK,L (-5),Inactive,,,,,,,,,,,,,,,,,,,,,
16,,2017-11-17,25-144,UTA,@,BRK,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
17,,2017-11-18,25-145,UTA,@,ORL,W (+40),Inactive,,,,,,,,,,,,,,,,,,,,,
18,,2017-11-20,25-147,UTA,@,PHI,L (-21),Inactive,,,,,,,,,,,,,,,,,,,,,
19,,2017-11-22,25-149,UTA,,CHI,W (+30),Inactive,,,,,,,,,,,,,,,,,,,,,
20,,2017-11-25,25-152,UTA,,MIL,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
21,,2017-11-28,25-155,UTA,,DEN,W (+29),Inactive,,,,,,,,,,,,,,,,,,,,,
22,,2017-11-30,25-157,UTA,@,LAC,W (+19),Inactive,,,,,,,,,,,,,,,,,,,,,
23,,2017-12-01,25-158,UTA,,NOP,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
24,13,2017-12-04,25-161,UTA,,WAS,W (+47),1,21:09,2,4,.500,0,0,,0,0,,4,6,10,3,1,2,2,3,4,7.9,+18
25,14,2017-12-05,25-162,UTA,@,OKC,L (-6),1,26:53:00,1,2,.500,0,0,,3,6,.500,1,5,6,0,1,1,1,5,5,3.7,-3
26,15,2017-12-07,25-164,UTA,,HOU,L (-11),1,27:41:00,2,5,.400,0,0,,2,2,1.000,2,7,9,1,1,2,5,1,6,4.5,-1
27,16,2017-12-09,25-166,UTA,@,MIL,L (-17),1,28:53:00,6,8,.750,0,0,,8,14,.571,3,6,9,1,0,1,2,1,20,17.3,-16
28,17,2017-12-13,25-170,UTA,@,CHI,L (-3),1,26:18:00,3,7,.429,0,0,,0,0,,3,8,11,1,0,5,0,0,6,11.0,+14
29,18,2017-12-15,25-172,UTA,@,BOS,W (+12),1,01:49,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-1
30,,2017-12-16,25-173,UTA,@,CLE,L (-9),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
31,,2017-12-18,25-175,UTA,@,HOU,L (-21),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
32,,2017-12-20,25-177,UTA,@,OKC,L (-28),Inactive,,,,,,,,,,,,,,,,,,,,,
33,,2017-12-21,25-178,UTA,,SAS,W (+11),Inactive,,,,,,,,,,,,,,,,,,,,,
34,,2017-12-23,25-180,UTA,,OKC,L (-14),Inactive,,,,,,,,,,,,,,,,,,,,,
35,,2017-12-26,25-183,UTA,@,DEN,L (-24),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
36,,2017-12-27,25-184,UTA,@,GSW,L (-25),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
37,,2017-12-30,25-187,UTA,,CLE,W (+3),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
38,,2018-01-03,25-191,UTA,,NOP,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
39,,2018-01-05,25-193,UTA,@,DEN,L (-8),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
40,,2018-01-07,25-195,UTA,@,MIA,L (-1),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
41,,2018-01-10,25-198,UTA,@,WAS,W (+3),Inactive,,,,,,,,,,,,,,,,,,,,,
42,,2018-01-12,25-200,UTA,@,CHO,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
43,,2018-01-15,25-203,UTA,,IND,L (-15),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
44,,2018-01-17,25-205,UTA,@,SAC,W (+15),Did Not Play,,,,,,,,,,,,,,,,,,,,,
45,19,2018-01-19,25-207,UTA,,NYK,L (-2),1,29:46:00,7,10,.700,0,0,,9,15,.600,5,9,14,1,0,3,3,5,23,20.4,-1
46,20,2018-01-20,25-208,UTA,,LAC,W (+12),1,28:06:00,6,9,.667,0,0,,4,7,.571,1,6,7,0,0,3,0,5,16,13.5,+5
47,21,2018-01-22,25-210,UTA,@,ATL,L (-14),1,27:57:00,2,6,.333,0,0,,2,3,.667,2,8,10,1,3,3,3,3,6,7.6,-8
