Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
48,22,2018-01-24,25-212,UTA,@,DET,W (+3),1,37:58:00,6,13,.462,0,0,,3,6,.500,3,5,8,1,0,4,0,3,15,13.0,+3
49,23,2018-01-26,25-214,UTA,@,TOR,W (+4),1,31:18:00,7,13,.538,0,0,,4,5,.800,5,10,15,3,1,2,3,1,18,18.9,+2
50,24,2018-01-30,25-218,UTA,,GSW,W (+30),1,27:47:00,4,7,.571,0,0,,1,2,.500,3,3,6,1,3,1,0,1,9,12.3,+26
51,25,2018-02-02,25-221,UTA,@,PHO,W (+32),1,32:20:00,5,8,.625,0,0,,0,1,.000,3,6,9,1,1,5,5,4,10,8.5,+40
52,26,2018-02-03,25-222,UTA,@,SAS,W (+9),1,31:58:00,3,7,.429,0,0,,5,7,.714,2,8,10,3,0,3,0,4,11,12.9,+13
53,27,2018-02-05,25-224,UTA,@,NOP,W (+24),1,32:50:00,7,8,.875,0,0,,5,5,1.000,2,8,10,1,1,1,1,4,19,19.8,+15
54,28,2018-02-07,25-226,UTA,@,MEM,W (+4),1,37:44:00,1,5,.200,0,0,,6,8,.750,3,9,12,2,0,2,4,5,8,5.7,-2
55,29,2018-02-09,25-228,UTA,,CHO,W (+12),1,32:49:00,7,8,.875,0,0,,6,8,.750,3,8,11,3,0,2,0,1,20,24.0,+8
56,30,2018-02-11,25-230,UTA,@,POR,W (+19),1,34:02:00,3,9,.333,0,0,,6,7,.857,2,9,11,3,0,2,2,3,12,10.9,+4
57,31,2018-02-12,25-231,UTA,,SAS,W (+2),1,31:10:00,4,9,.444,0,0,,2,5,.400,4,8,12,2,1,2,2,2,10,10.3,+4
58,32,2018-02-14,25-233,UTA,,PHO,W (+10),1,37:04:00,5,8,.625,0,0,,4,4,1.000,2,15,17,1,0,0,0,4,14,15.4,+17
59,33,2018-02-23,25-242,UTA,,POR,L (-19),1,34:18:00,6,9,.667,0,0,,3,4,.750,2,7,9,3,2,4,2,2,15,18.3,-10
60,34,2018-02-24,25-243,UTA,,DAL,W (+7),1,34:39:00,5,6,.833,0,0,,3,6,.500,1,9,10,1,0,0,2,3,13,10.5,+16
61,35,2018-02-26,25-245,UTA,,HOU,L (-11),1,36:08:00,7,8,.875,0,0,,3,5,.600,2,4,6,1,1,2,1,4,17,16.5,-9
62,36,2018-03-02,25-249,UTA,,MIN,W (+8),1,35:55:00,7,9,.778,0,0,,12,14,.857,3,13,16,1,1,4,1,3,26,30.0,+10
63,37,2018-03-03,25-250,UTA,@,SAC,W (+7),1,36:19:00,6,10,.600,0,0,,4,7,.571,5,7,12,2,3,3,1,2,16,20.5,+10
64,38,2018-03-05,25-252,UTA,,ORL,W (+14),1,37:05:00,9,10,.900,0,0,,3,6,.500,3,14,17,0,1,2,2,3,21,21.9,+22
65,39,2018-03-07,25-254,UTA,@,IND,W (+20),1,38:46:00,10,14,.714,0,0,,3,4,.750,3,11,14,0,1,1,2,3,23,20.7,+15
66,40,2018-03-09,25-256,UTA,@,MEM,W (+17),1,34:08:00,2,5,.400,0,0,,0,0,,4,6,10,1,2,2,3,3,4,5.8,+22
67,41,2018-03-11,25-258,UTA,@,NOP,W (+17),1,39:47:00,5,13,.385,0,0,,9,9,1.000,4,12,16,3,0,2,1,2,19,20.0,+24
68,42,2018-03-13,25-260,UTA,,DET,W (+31),1,30:34:00,9,12,.750,0,0,,4,9,.444,5,7,12,1,0,2,3,3,22,18.7,+28
69,43,2018-03-15,25-262,UTA,,PHO,W (+28),1,34:02:00,8,11,.727,0,0,,5,6,.833,6,7,13,2,1,2,0,4,21,24.6,+24
70,44,2018-03-17,25-264,UTA,,SAC,W (+6),1,39:16:00,7,8,.875,0,0,,8,10,.800,3,10,13,0,0,4,1,2,22,24.5,+19
71,45,2018-03-20,25-267,UTA,,ATL,L (-5),1,35:25:00,7,10,.700,0,0,,1,2,.500,6,10,16,0,0,2,4,5,15,13.0,-2
72,46,2018-03-22,25-269,UTA,@,DAL,W (+7),1,35:44:00,3,4,.750,0,0,,5,5,1.000,2,5,7,2,2,5,0,3,11,18.0,-2
73,47,2018-03-23,25-270,UTA,@,SAS,L (-4),1,40:14:00,4,6,.667,0,0,,5,6,.833,2,6,8,1,2,0,1,5,13,12.9,-10
74,48,2018-03-25,25-272,UTA,@,GSW,W (+19),1,31:08:00,7,11,.636,0,0,,3,4,.750,5,10,15,3,0,4,1,2,17,21.3,+14
75,49,2018-03-28,25-275,UTA,,BOS,L (-3),1,39:53:00,3,5,.600,0,0,,4,6,.667,3,8,11,2,1,2,4,1,10,10.8,-7
76,50,2018-03-30,25-277,UTA,,MEM,W (+10),1,28:52:00,3,4,.750,0,0,,3,6,.500,2,8,10,0,2,0,4,3,9,6.8,+1
77,51,2018-04-01,25-279,UTA,@,MIN,W (+24),1,32:16:00,2,3,.667,0,0,,2,4,.500,1,12,13,1,0,4,3,1,6,8.3,+22
78,52,2018-04-03,25-281,UTA,,LAL,W (+7),1,36:24:00,5,10,.500,0,0,,2,5,.400,4,12,16,5,2,3,5,3,12,13.6,+17
79,53,2018-04-05,25-283,UTA,,LAC,W (+22),1,27:43:00,6,6,1.000,0,0,,3,6,.500,4,6,10,2,1,3,2,1,15,18.7,+22
80,54,2018-04-08,25-286,UTA,@,LAL,W (+15),1,25:48:00,2,5,.400,0,0,,0,2,.000,1,5,6,2,2,1,3,4,4,2.2,+2
81,55,2018-04-10,25-288,UTA,,GSW,W (+40),1,28:21:00,5,7,.714,0,0,,3,4,.750,1,3,4,2,0,2,1,2,13,12.3,+36
82,56,2018-04-11,25-289,UTA,@,POR,L (-9),1,31:58:00,5,11,.455,0,0,,3,4,.750,6,7,13,1,0,1,2,3,13,11.4,-6
