Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2016-10-25,24-121,UTA,@,POR,L (-9),1,40:57,.685,.571,13.4,39.1,25.2,6.6,0.0,4.2,25.5,13.8,121,125,13.1,-2.5
2,2,2016-10-28,24-124,UTA,,LAL,W (+7),1,31:52,.519,.444,20.1,23.4,21.8,6.0,0.0,9.9,7.4,19.1,120,91,15.1,5.5
3,3,2016-10-30,24-126,UTA,@,LAC,L (-13),1,26:07,.820,.750,8.8,25.7,18.0,23.5,0.0,6.6,45.0,16.9,99,94,8.2,3.7
4,4,2016-11-01,24-128,UTA,@,SAS,W (+15),1,33:22,.452,.250,9.0,35.1,23.6,3.9,0.0,0.0,23.1,13.2,93,105,4.3,-7.8
5,5,2016-11-02,24-129,UTA,,DAL,W (+16),1,22:50,.538,.600,22.7,42.0,32.8,7.3,4.8,12.4,8.2,25.5,117,70,13.5,10.1
6,6,2016-11-04,24-131,UTA,,SAS,L (-14),1,29:29,.665,1.000,6.6,23.3,14.3,6.1,0.0,0.0,34.7,9.1,95,111,4.3,-5.0
7,7,2016-11-06,24-133,UTA,@,NYK,W (+5),1,33:23,.838,.833,8.0,23.3,15.8,4.7,1.6,6.8,0.0,11.1,178,113,15.0,5.1
8,8,2016-11-07,24-134,UTA,@,PHI,W (+25),1,20:10,.645,.750,0.0,32.5,16.4,0.0,2.6,12.8,24.4,18.8,91,77,5.7,-3.3
9,9,2016-11-09,24-136,UTA,@,CHO,L (-6),1,30:17,.608,.500,18.9,23.2,21.0,4.6,1.7,8.5,25.8,12.1,118,103,10.5,-0.3
10,10,2016-11-11,24-138,UTA,@,ORL,W (+13),1,34:20,.658,.667,17.8,20.4,19.1,5.7,1.6,7.2,9.2,14.8,134,80,17.4,8.0
11,11,2016-11-12,24-139,UTA,@,MIA,W (+11),1,33:04,.630,.500,7.1,33.8,20.7,0.0,3.2,4.5,9.5,15.5,127,89,13.0,3.7
12,12,2016-11-14,24-141,UTA,,MEM,L (-6),1,21:53,.773,.667,0.0,29.6,15.0,14.3,2.6,4.0,34.0,14.2,110,110,5.3,-0.1
13,13,2016-11-17,24-144,UTA,,CHI,L (-8),1,40:31,.810,.778,14.1,18.2,16.4,5.5,0.0,4.9,16.8,14.5,143,96,19.2,9.7
14,14,2016-11-19,24-146,UTA,@,HOU,L (-9),1,35:21,.721,.714,8.0,33.9,23.2,4.2,3.0,8.8,19.4,14.7,123,105,16.8,6.5
15,15,2016-11-20,24-147,UTA,@,DEN,L (-14),1,26:08,.429,.429,10.8,15.6,13.1,6.7,0.0,5.7,0.0,12.2,113,111,6.1,-3.1
16,16,2016-11-23,24-150,UTA,,DEN,W (+25),1,32:05,.715,.750,7.7,27.0,19.4,0.0,0.0,4.9,13.1,21.4,128,78,17.1,7.8
17,17,2016-11-25,24-152,UTA,,ATL,W (+27),1,29:10,.984,1.000,0.0,31.6,17.3,5.2,0.0,14.2,16.4,9.6,170,63,14.0,11.0
18,18,2016-11-28,24-155,UTA,@,MIN,W (+9),1,34:28,.592,.500,27.2,31.3,29.2,4.2,0.0,6.7,12.9,20.4,130,107,17.7,2.0
19,19,2016-11-29,24-156,UTA,,HOU,W (+19),1,33:20,.760,.714,20.6,28.8,25.8,0.0,0.0,7.1,16.0,19.2,143,106,17.4,3.3
20,20,2016-12-01,24-158,UTA,,MIA,L (-1),1,35:23,.750,.750,12.7,24.3,19.1,3.8,0.0,6.1,0.0,5.9,177,127,10.6,-0.6
21,21,2016-12-03,24-160,UTA,,DEN,W (+7),1,36:48,.717,.750,10.6,26.1,18.6,4.2,1.4,4.4,17.0,7.7,137,102,10.4,-0.4
22,22,2016-12-05,24-162,UTA,@,LAL,W (+6),1,38:52,.591,.571,25.3,25.8,25.6,3.7,1.4,8.5,7.8,15.1,136,103,19.6,2.9
23,23,2016-12-06,24-163,UTA,,PHO,W (+7),1,38:16,.857,.750,10.8,21.4,16.5,0.0,0.0,7.6,18.9,19.5,145,107,21.6,3.7
24,24,2016-12-08,24-165,UTA,,GSW,L (-7),1,35:23,.903,1.000,5.4,47.3,24.8,5.2,0.0,2.7,15.3,15.7,149,104,20.9,9.9
25,25,2016-12-10,24-167,UTA,,SAC,W (+20),1,35:37,.893,.833,15.4,28.0,23.0,0.0,0.0,12.6,17.4,14.5,156,84,21.1,9.0
26,26,2016-12-14,24-171,UTA,,OKC,W (+20),1,29:34,1.020,1.000,5.6,38.0,25.6,0.0,3.7,7.7,14.5,12.1,173,82,15.6,10.6
27,27,2016-12-16,24-173,UTA,,DAL,W (+3),1,34:30,.702,.571,14.9,24.3,20.5,4.4,1.7,2.8,14.9,20.1,136,115,15.3,2.3
