Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2019-10-23,27-119,UTA,,OKC,W (+5),1,37:55,.478,.500,7.3,30.9,18.3,0.0,0.0,2.3,35.3,13.1,73,95,3.3,-6.3
2,2,2019-10-25,27-121,UTA,@,LAL,L (-9),1,32:24,.474,.500,0.0,27.8,16.3,19.3,3.1,0.0,26.2,16.7,74,92,6.2,0.6
3,3,2019-10-26,27-122,UTA,,SAC,W (+32),1,25:03,1.000,1.000,7.1,20.4,15.5,10.0,0.0,3.5,57.1,12.9,93,81,4.2,-0.9
4,4,2019-10-28,27-124,UTA,@,PHO,W (+1),1,35:32,.808,.500,6.3,47.0,27.3,5.6,4.0,2.9,35.0,17.4,114,84,17.0,5.8
5,5,2019-10-30,27-126,UTA,,LAC,W (+14),1,32:38,.618,.714,0.0,26.4,14.3,0.0,1.5,5.0,8.7,16.8,108,96,10.4,-1.8
6,6,2019-11-01,27-128,UTA,@,SAC,L (-1),1,38:00,.826,.833,19.1,33.9,27.3,0.0,1.3,6.9,24.8,15.0,134,103,18.1,2.8
7,7,2019-11-03,27-130,UTA,@,LAC,L (-11),1,34:03,.564,.500,6.7,34.5,21.7,0.0,0.0,0.0,0.0,14.2,123,103,10.6,0.4
8,8,2019-11-06,27-133,UTA,,PHI,W (+2),1,36:08,.608,.500,10.8,37.1,23.1,11.2,4.1,2.4,0.0,13.6,148,96,19.0,7.2
9,9,2019-11-08,27-135,UTA,,MIL,W (+3),1,36:31,.625,.500,8.0,30.2,20.3,0.0,0.0,2.2,31.9,10.6,99,90,7.4,-0.2
10,10,2019-11-11,27-138,UTA,@,GSW,W (+14),1,34:30,.783,.917,6.8,36.3,22.4,5.6,1.4,4.4,0.0,20.7,154,99,25.5,9.2
11,11,2019-11-12,27-139,UTA,,BRK,W (+5),1,37:33,.765,.800,11.6,31.2,21.5,7.8,2.5,4.8,14.5,14.9,140,101,21.5,9.0
12,12,2019-11-15,27-142,UTA,@,MEM,L (-1),1,36:29,.817,.818,20.0,29.2,24.6,5.7,0.0,10.8,17.6,19.5,143,98,26.8,11.5
13,13,2019-11-18,27-145,UTA,,MIN,L (-10),1,36:12,.722,.625,11.4,25.9,17.8,4.7,1.2,2.6,15.3,14.3,135,103,16.6,1.8
14,14,2019-11-20,27-147,UTA,@,MIN,W (+8),1,35:20,.644,.625,7.8,32.6,20.0,4.8,0.0,15.4,24.4,15.4,105,90,13.7,1.2
15,15,2019-11-22,27-149,UTA,,GSW,W (+4),1,34:33,.450,.375,17.8,42.3,31.1,3.6,1.4,14.7,25.3,15.1,95,92,14.1,0.1
16,,2019-11-23,27-150,UTA,,NOP,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,2019-11-25,27-152,UTA,@,MIL,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,16,2019-11-27,27-154,UTA,@,IND,L (-19),1,30:18,.601,.556,19.3,30.9,25.1,0.0,1.6,2.1,14.7,19.6,117,117,12.5,-2.0
19,17,2019-11-29,27-156,UTA,@,MEM,W (+9),1,35:53,.547,.545,10.5,21.5,16.3,13.4,0.0,4.5,0.0,14.7,132,97,15.9,4.5
20,18,2019-12-01,27-158,UTA,@,TOR,L (-20),1,28:25,.570,.571,13.2,27.5,19.8,5.4,0.0,3.1,22.2,18.9,102,124,9.6,-4.0
21,19,2019-12-02,27-159,UTA,@,PHI,L (-9),1,36:27,.696,.733,15.0,20.5,17.8,11.2,0.0,6.1,4.9,24.7,136,99,26.2,11.7
22,20,2019-12-04,27-161,UTA,,LAL,L (-25),1,27:01,.697,.750,15.4,26.7,20.7,15.2,1.8,0.0,17.7,18.4,125,119,12.8,3.9
23,21,2019-12-07,27-164,UTA,,MEM,W (+14),1,30:40,.883,.889,9.8,38.1,25.0,24.1,0.0,0.0,8.5,16.7,176,114,20.5,9.5
24,22,2019-12-09,27-166,UTA,,OKC,L (-14),1,33:00,.873,.900,11.4,44.0,26.3,6.3,0.0,0.0,26.9,20.0,124,106,17.4,4.7
25,23,2019-12-11,27-168,UTA,@,MIN,W (+11),1,36:27,.710,.727,24.3,24.2,24.2,10.8,2.8,5.3,17.6,20.9,139,111,23.6,5.9
26,24,2019-12-13,27-170,UTA,,GSW,W (+8),1,36:24,.697,.667,9.6,31.6,21.7,9.1,0.0,4.3,0.0,13.4,156,103,18.0,4.5
27,25,2019-12-17,27-174,UTA,,ORL,W (+7),1,37:28,.600,.600,10.9,37.0,24.6,18.7,0.0,0.0,23.1,15.0,115,104,14.4,2.4
28,26,2019-12-19,27-176,UTA,@,ATL,W (+5),1,37:05,.576,.556,11.0,25.3,18.1,4.0,0.0,6.4,14.7,22.4,110,99,16.6,0.0
29,27,2019-12-21,27-178,UTA,@,CHO,W (+7),1,36:45,.759,.667,19.8,40.6,31.8,4.2,1.4,7.0,15.2,16.5,146,101,21.4,5.3
30,28,2019-12-23,27-180,UTA,@,MIA,L (-3),1,36:09,.787,.818,12.5,38.7,25.0,0.0,1.3,10.2,8.0,15.2,150,95,23.5,9.4
31,29,2019-12-26,27-183,UTA,,POR,W (+6),1,35:40,.830,1.000,13.8,32.9,24.0,7.4,0.0,2.4,0.0,12.9,178,116,19.3,6.3
32,30,2019-12-28,27-185,UTA,@,LAC,W (+13),1,36:19,.732,.667,3.7,16.2,11.4,0.0,0.0,2.4,10.9,11.5,135,112,10.7,-0.2
33,31,2019-12-30,27-187,UTA,,DET,W (+23),1,34:48,.568,.545,13.1,44.0,29.4,4.5,2.9,6.4,25.9,20.1,96,70,13.8,2.9
34,32,2020-01-02,27-190,UTA,@,CHI,W (+4),1,35:17,.715,.727,7.4,27.2,18.8,0.0,0.0,7.0,14.4,18.4,118,99,15.0,1.8
35,33,2020-01-04,27-192,UTA,@,ORL,W (+13),1,33:34,.410,.375,19.6,31.1,25.1,15.2,1.6,0.0,0.0,13.0,133,101,13.3,2.2
36,34,2020-01-06,27-194,UTA,@,NOP,W (+2),1,34:08,.414,.400,13.4,43.0,29.4,3.5,0.0,0.0,15.5,16.7,95,121,7.6,-8.4
37,35,2020-01-08,27-196,UTA,,NYK,W (+24),1,26:00,.851,1.000,14.2,46.2,32.5,18.6,2.0,2.6,9.6,17.9,169,96,21.6,14.1
38,36,2020-01-10,27-198,UTA,,CHO,W (+17),1,29:07,.638,.600,8.5,47.7,27.8,16.4,1.8,16.8,7.8,21.0,134,84,20.3,11.3
39,37,2020-01-12,27-200,UTA,@,WAS,W (+11),1,37:31,.752,.800,16.0,28.1,22.1,6.8,1.3,3.6,17.7,19.4,135,113,20.6,3.1
40,38,2020-01-14,27-202,UTA,@,BRK,W (+11),1,36:33,.751,.750,13.5,40.9,28.1,11.5,1.4,4.1,0.0,18.0,166,102,26.7,12.6
41,39,2020-01-16,27-204,UTA,@,NOP,L (-6),1,38:55,.609,.600,11.6,33.2,21.7,14.4,0.0,6.1,6.7,16.0,135,122,18.1,2.0
42,40,2020-01-18,27-206,UTA,,SAC,W (+22),1,33:39,.884,.818,10.7,38.9,25.5,0.0,3.1,7.1,5.9,23.2,175,96,30.7,14.1
43,41,2020-01-20,27-208,UTA,,IND,W (+30),1,31:06,.784,.727,14.5,33.3,26.0,8.9,0.0,2.3,7.3,18.7,161,87,22.0,13.1
44,42,2020-01-22,27-210,UTA,@,GSW,W (+33),1,30:16,.684,.769,23.2,27.4,25.6,9.3,1.7,7.3,5.9,24.2,142,92,24.5,10.7
