Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2023-10-25,31-121,MIN,@,TOR,L (-3),1,32:00,.528,.500,13.6,22.2,17.9,6.0,2.9,10.9,12.3,19.6,106,84,16.4,5.2
2,2,2023-10-28,31-124,MIN,,MIA,W (+16),1,30:48,.778,.778,15.6,31.8,24.5,4.7,1.6,0.0,18.2,16.6,132,91,15.6,4.5
3,3,2023-10-30,31-126,MIN,@,ATL,L (-14),1,30:41,.591,.429,22.3,34.2,27.5,4.0,1.6,5.6,0.0,17.4,149,126,17.7,2.0
4,4,2023-11-01,31-128,MIN,,DEN,W (+21),1,32:23,.228,.000,7.6,29.1,19.8,3.9,1.5,4.7,10.2,13.4,66,84,4.4,-4.9
5,5,2023-11-04,31-131,MIN,,UTA,W (+28),1,28:30,.506,.500,21.7,19.8,20.5,4.6,0.0,14.0,8.4,19.1,118,98,11.5,-2.0
6,6,2023-11-06,31-133,MIN,,BOS,W (+5),1,40:45,.646,1.000,6.5,26.0,17.3,3.6,0.0,2.5,15.6,14.0,106,99,10.8,1.1
7,7,2023-11-08,31-135,MIN,,NOP,W (+21),1,32:16,.827,.800,20.1,46.7,35.5,3.8,0.0,4.6,28.0,19.6,133,90,19.5,2.7
8,8,2023-11-10,31-137,MIN,@,SAS,W (+7),1,33:44,.527,.500,12.9,19.0,16.0,4.0,1.4,0.0,8.7,13.9,118,106,10.1,-2.2
9,9,2023-11-12,31-139,MIN,@,GSW,W (+6),1,35:13,.475,.571,13.3,14.3,13.9,10.9,1.4,12.9,16.0,15.6,103,106,12.3,1.3
10,10,2023-11-14,31-141,MIN,@,GSW,W (+3),1,35:13,.423,.250,19.5,20.7,20.1,8.2,0.0,8.3,15.8,15.8,105,102,10.0,-3.0
11,11,2023-11-15,31-142,MIN,@,PHO,L (-18),1,24:52,.400,.400,18.0,26.6,21.4,10.1,2.1,7.1,28.6,12.2,97,138,6.3,-5.8
12,12,2023-11-18,31-145,MIN,@,NOP,W (+1),1,34:07,.746,.714,8.8,30.9,21.2,3.9,2.9,2.5,8.1,16.5,146,113,18.6,3.1
13,13,2023-11-20,31-147,MIN,,NYK,W (+17),1,26:23,.794,1.000,13.6,13.5,13.5,6.4,0.0,6.7,9.0,18.8,141,106,15.5,7.2
14,14,2023-11-22,31-149,MIN,,PHI,W (+13),1,31:12,.732,.750,11.0,22.8,17.6,13.7,0.0,8.4,18.4,15.0,129,99,14.9,4.9
15,15,2023-11-24,31-151,MIN,,SAC,L (-13),1,35:30,.676,.625,9.7,22.5,16.5,0.0,0.0,4.2,25.3,14.2,106,122,9.3,-6.0
16,16,2023-11-26,31-153,MIN,@,MEM,W (+22),1,25:25,.742,.714,6.3,12.1,9.8,0.0,0.0,7.4,18.6,19.3,118,100,8.7,-2.7
17,17,2023-11-28,31-155,MIN,,OKC,W (+3),1,36:12,.672,.600,21.5,26.5,24.4,0.0,1.4,8.8,7.3,16.3,143,97,21.6,9.4
18,18,2023-11-30,31-157,MIN,,UTA,W (+11),1,37:28,.588,.545,8.0,28.5,17.9,0.0,0.0,7.3,0.0,15.5,127,94,14.9,-2.0
19,19,2023-12-02,31-159,MIN,@,CHO,W (+6),1,39:18,.815,.833,6.8,29.8,19.0,0.0,0.0,5.6,5.9,19.1,156,119,25.5,6.0
20,20,2023-12-06,31-163,MIN,,SAS,W (+8),1,30:12,.901,.875,16.9,41.8,30.6,12.8,0.0,4.9,10.1,14.2,172,84,21.8,12.7
21,21,2023-12-08,31-165,MIN,@,MEM,W (+24),1,35:48,.743,.667,34.5,31.4,32.7,3.7,1.5,15.8,15.7,15.2,153,96,24.0,7.4
22,22,2023-12-11,31-168,MIN,@,NOP,L (-14),1,25:27,.500,.500,7.9,24.6,16.1,0.0,0.0,6.9,20.0,17.1,86,117,5.0,-7.3
23,23,2023-12-14,31-171,MIN,@,DAL,W (+18),1,29:56,.602,.750,7.6,43.3,24.4,20.5,4.8,3.1,23.1,12.2,117,91,12.8,7.6
24,24,2023-12-16,31-173,MIN,,IND,W (+18),1,25:10,.525,.667,10.9,23.3,17.6,4.3,2.0,2.8,29.6,11.9,93,110,5.4,-5.0
25,25,2023-12-18,31-175,MIN,@,MIA,W (+4),1,35:17,.461,.375,9.5,42.1,25.6,7.2,2.8,4.8,9.3,13.8,111,104,13.2,-0.1
26,26,2023-12-20,31-177,MIN,@,PHI,L (-14),1,24:12,.820,.750,10.4,37.5,23.8,5.5,4.0,0.0,0.0,8.8,180,117,11.0,6.4
27,27,2023-12-21,31-178,MIN,,LAL,W (+7),1,37:22,.550,.545,16.1,27.0,21.4,11.2,1.3,6.5,12.8,17.9,117,108,16.4,-1.1
28,28,2023-12-23,31-180,MIN,@,SAC,W (+12),1,39:13,.756,.769,18.8,30.6,25.1,3.9,0.0,4.7,6.7,17.3,148,102,22.9,5.1
29,29,2023-12-26,31-183,MIN,@,OKC,L (-23),1,28:53,.525,.333,0.0,28.7,13.2,0.0,0.0,0.0,9.5,16.2,104,139,5.9,-7.3
30,30,2023-12-28,31-185,MIN,,DAL,W (+8),1,37:37,.992,1.000,8.0,25.5,18.2,8.8,0.0,6.7,16.6,13.9,171,109,22.3,6.9
31,31,2023-12-30,31-187,MIN,,LAL,W (+2),1,37:41,.874,.857,13.4,24.9,19.7,0.0,2.6,2.0,35.0,13.8,114,103,13.5,0.8
32,32,2024-01-01,31-189,MIN,@,NYK,L (-6),1,37:48,.470,.375,6.9,35.9,22.9,3.9,0.0,0.0,8.6,14.5,101,111,9.0,-3.2
33,33,2024-01-03,31-191,MIN,,NOP,L (-11),1,23:54,.644,.667,5.0,27.7,14.6,0.0,0.0,3.7,20.5,9.3,105,130,3.3,-8.6
34,34,2024-01-05,31-193,MIN,@,HOU,W (+27),1,32:58,.781,.857,10.9,26.2,19.4,3.9,2.9,5.0,10.7,12.2,145,88,16.8,5.6
35,35,2024-01-07,31-195,MIN,@,DAL,L (-7),1,34:13,.418,.444,17.9,32.1,25.1,4.0,1.5,0.0,31.7,19.0,76,114,5.7,-9.9
