Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
12,12,2021-11-11,29-138,UTA,,IND,L (-11),1,30:57,.726,.700,3.4,34.5,19.0,0.0,0.0,2.4,13.3,22.2,124,111,15.6,2.7
13,13,2021-11-13,29-140,UTA,,MIA,L (-6),1,34:55,.761,.714,11.7,31.7,20.8,0.0,4.3,0.0,9.8,12.5,148,107,17.8,4.6
14,14,2021-11-16,29-143,UTA,,PHI,W (+35),1,28:08,.573,.600,0.0,51.8,29.6,4.8,0.0,11.2,0.0,21.0,116,73,16.2,6.2
15,15,2021-11-18,29-145,UTA,,TOR,W (+16),1,29:19,1.000,1.000,0.0,36.0,22.2,5.0,0.0,5.8,12.5,12.0,162,101,15.5,6.1
16,16,2021-11-20,29-147,UTA,@,SAC,W (+18),1,30:18,.717,.667,27.0,24.1,25.5,4.8,1.7,2.6,12.0,24.1,147,105,21.6,6.1
17,17,2021-11-22,29-149,UTA,,MEM,L (-1),1,32:52,.910,.900,6.6,30.9,19.8,0.0,0.0,12.2,0.0,16.5,188,112,26.2,12.9
18,18,2021-11-24,29-151,UTA,@,OKC,W (+6),1,39:10,.778,.714,8.0,42.9,24.2,0.0,2.5,13.3,17.2,13.7,138,96,21.5,5.0
19,19,2021-11-26,29-153,UTA,,NOP,L (-1),1,36:37,.608,.667,9.4,22.9,16.0,7.9,0.0,6.3,28.8,13.0,105,100,8.4,-1.6
20,20,2021-11-27,29-154,UTA,,NOP,W (+22),1,27:10,.521,.500,4.6,25.8,16.4,4.3,1.8,6.1,41.0,16.0,73,100,4.7,-5.4
21,21,2021-11-29,29-156,UTA,,POR,W (+22),1,31:56,.823,.818,11.9,41.6,28.3,13.5,1.6,2.5,0.0,18.4,178,105,25.1,12.0
22,22,2021-12-03,29-160,UTA,,BOS,W (+7),1,35:23,.957,1.000,12.0,30.5,22.0,0.0,1.4,5.2,29.9,16.5,138,124,16.9,0.9
23,23,2021-12-05,29-162,UTA,@,CLE,W (+1),1,38:11,.500,.500,14.3,40.1,27.6,10.4,1.3,11.9,14.3,7.9,132,101,16.6,6.2
24,24,2021-12-08,29-165,UTA,@,MIN,W (+32),1,30:35,.918,1.000,9.2,24.6,18.5,0.0,0.0,3.3,0.0,10.3,197,100,13.9,2.6
25,25,2021-12-09,29-166,UTA,@,PHI,W (+22),1,29:22,.585,.545,22.3,58.4,39.9,4.9,0.0,5.9,6.4,22.5,134,95,18.7,4.9
26,26,2021-12-11,29-168,UTA,@,WAS,W (+25),1,28:22,.919,.900,16.1,25.7,21.2,0.0,0.0,2.6,0.0,17.0,192,101,21.0,9.3
27,27,2021-12-15,29-172,UTA,,LAC,W (+21),1,27:17,.765,.800,16.8,52.0,34.8,16.0,0.0,6.4,13.3,24.8,145,98,23.2,11.9
28,28,2021-12-17,29-174,UTA,,SAS,L (-2),1,32:58,.694,.625,12.9,30.3,21.9,7.5,0.0,4.9,0.0,14.4,162,123,19.8,4.8
29,29,2021-12-18,29-175,UTA,,WAS,L (-6),1,37:45,.828,1.000,2.9,46.7,26.0,4.3,0.0,12.1,37.6,12.4,101,96,14.0,2.8
30,30,2021-12-20,29-177,UTA,,CHO,W (+10),1,36:07,.675,.400,15.0,32.6,23.5,9.3,1.3,2.3,19.0,21.6,131,91,24.6,7.7
31,31,2021-12-23,29-180,UTA,,MIN,W (+12),1,35:00,.557,.571,24.6,27.4,26.2,7.4,1.3,9.8,14.3,25.1,115,105,20.3,-0.2
32,32,2021-12-25,29-182,UTA,,DAL,W (+4),1,33:41,.683,.667,14.8,19.4,17.0,4.2,2.7,4.8,21.5,11.0,126,106,13.2,0.5
33,33,2021-12-27,29-184,UTA,@,SAS,W (+6),1,25:52,.830,.714,4.4,39.1,24.4,12.5,1.8,8.0,0.0,15.8,177,87,20.3,14.9
34,34,2021-12-29,29-186,UTA,@,POR,W (+15),1,28:49,.720,.800,17.7,34.1,25.6,0.0,0.0,6.9,0.0,22.7,154,103,22.6,9.7
35,35,2021-12-31,29-188,UTA,,MIN,W (+12),1,35:42,.614,.429,6.7,37.6,23.9,0.0,0.0,10.3,14.9,15.9,118,98,15.1,2.1
36,36,2022-01-01,29-189,UTA,,GSW,L (-7),1,34:58,.850,.900,20.0,44.5,30.7,9.9,0.0,0.0,14.5,16.1,155,122,22.1,7.7
37,37,2022-01-03,29-191,UTA,@,NOP,W (+11),1,37:08,.470,.375,19.4,28.4,24.4,0.0,2.7,5.1,15.8,15.3,108,98,11.7,-3.2
38,,2022-01-05,29-193,UTA,@,DEN,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
