Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
23,21,2019-12-07,27-164,UTA,,MEM,W (+14),1,30:40:00,8,9,.889,0,0,,3,4,.750,2,9,11,5,0,0,1,4,19,20.5,+14
24,22,2019-12-09,27-166,UTA,,OKC,L (-14),1,33:00:00,9,10,.900,0,0,,1,2,.500,4,13,17,1,0,0,4,3,19,17.4,-9
25,23,2019-12-11,27-168,UTA,@,MIN,W (+11),1,36:27:00,8,11,.727,0,0,,4,7,.571,7,9,16,3,2,2,3,2,20,23.6,-1
26,24,2019-12-13,27-170,UTA,,GSW,W (+8),1,36:24:00,6,9,.667,0,0,,3,4,.750,3,12,15,2,0,2,0,3,15,18.0,+25
27,25,2019-12-17,27-174,UTA,,ORL,W (+7),1,37:28:00,6,10,.600,0,0,,0,0,,4,15,19,5,0,0,3,2,12,14.4,+11
28,26,2019-12-19,27-176,UTA,@,ATL,W (+5),1,37:05:00,5,9,.556,0,0,,10,19,.526,4,9,13,1,0,3,3,2,20,16.6,+16
29,27,2019-12-21,27-178,UTA,@,CHO,W (+7),1,36:45:00,6,9,.667,0,0,,5,5,1.000,5,14,19,1,1,3,2,3,17,21.4,+16
30,28,2019-12-23,27-180,UTA,@,MIA,L (-3),1,36:09:00,9,11,.818,0,0,,0,1,.000,5,14,19,0,1,5,1,3,18,23.5,-3
31,29,2019-12-26,27-183,UTA,,POR,W (+6),1,35:40:00,7,7,1.000,0,0,,2,6,.333,4,11,15,2,0,1,0,3,16,19.3,+13
32,30,2019-12-28,27-185,UTA,@,LAC,W (+13),1,36:19:00,4,6,.667,0,0,,4,5,.800,1,7,8,0,0,1,1,2,12,10.7,+14
33,31,2019-12-30,27-187,UTA,,DET,W (+23),1,34:48:00,6,11,.545,0,0,,1,1,1.000,4,15,19,1,2,3,4,5,13,13.8,+19
34,32,2020-01-02,27-190,UTA,@,CHI,W (+4),1,35:17:00,8,11,.727,0,0,,1,2,.500,2,10,12,0,0,3,2,4,17,15.0,-4
35,33,2020-01-04,27-192,UTA,@,ORL,W (+13),1,33:34:00,3,8,.375,0,0,,2,4,.500,7,10,17,4,1,0,0,3,8,13.3,+10
36,34,2020-01-06,27-194,UTA,@,NOP,W (+2),1,34:08:00,4,10,.400,0,0,,1,2,.500,4,15,19,1,0,0,2,4,9,7.6,+1
37,35,2020-01-08,27-196,UTA,,NYK,W (+24),1,26:00:00,5,5,1.000,0,0,,6,10,.600,3,13,16,4,1,1,1,2,16,21.6,+33
38,36,2020-01-10,27-198,UTA,,CHO,W (+17),1,29:07:00,6,10,.600,0,0,,3,4,.750,2,11,13,3,1,5,1,0,15,20.3,+25
39,37,2020-01-12,27-200,UTA,@,WAS,W (+11),1,37:31:00,8,10,.800,0,0,,5,9,.556,5,9,14,2,1,2,3,5,21,20.6,+15
40,38,2020-01-14,27-202,UTA,@,BRK,W (+11),1,36:33:00,9,12,.750,0,0,,4,6,.667,4,14,18,3,1,2,0,3,22,26.7,+11
41,39,2020-01-16,27-204,UTA,@,NOP,L (-6),1,38:55:00,6,10,.600,0,0,,5,9,.556,4,10,14,4,0,3,1,6,17,18.1,+3
42,40,2020-01-18,27-206,UTA,,SAC,W (+22),1,33:39:00,9,11,.818,0,0,,10,11,.909,3,12,15,0,2,3,1,4,28,30.7,+32
43,41,2020-01-20,27-208,UTA,,IND,W (+30),1,31:06:00,8,11,.727,0,0,,4,4,1.000,3,11,14,2,0,1,1,0,20,22.0,+24
44,42,2020-01-22,27-210,UTA,@,GSW,W (+33),1,30:16:00,10,13,.769,0,0,,2,7,.286,6,9,15,2,1,3,1,2,22,24.5,+31
45,43,2020-01-25,27-213,UTA,,DAL,W (+5),1,37:04:00,8,8,1.000,0,0,,6,9,.667,4,13,17,2,0,5,4,5,22,24.0,+2
46,44,2020-01-27,27-215,UTA,,HOU,L (-9),1,37:09:00,3,5,.600,0,0,,6,10,.600,1,13,14,0,1,2,1,2,12,13.3,-15
47,45,2020-01-29,27-217,UTA,@,SAS,L (-7),1,32:20:00,4,7,.571,0,0,,9,18,.500,8,11,19,0,0,0,4,4,17,13.4,+6
48,46,2020-01-30,27-218,UTA,@,DEN,L (-6),1,37:18:00,9,10,.900,0,0,,3,6,.500,2,9,11,1,1,3,4,4,21,18.7,+3
49,47,2020-02-01,27-220,UTA,@,POR,L (-17),1,32:04:00,1,4,.250,0,0,,4,4,1.000,4,7,11,2,1,3,1,4,6,10.4,-14
50,48,2020-02-05,27-224,UTA,,DEN,L (-3),1,38:52:00,7,10,.700,0,0,,2,4,.500,4,10,14,0,0,1,1,2,16,15.7,-2
51,49,2020-02-07,27-226,UTA,,POR,W (+3),1,35:04:00,7,9,.778,0,0,,2,6,.333,5,9,14,2,0,1,3,3,16,15.0,-5
52,50,2020-02-09,27-228,UTA,@,HOU,W (+1),1,36:56:00,3,6,.500,0,0,,6,8,.750,4,11,15,0,1,1,1,0,12,15.0,-6
53,51,2020-02-10,27-229,UTA,@,DAL,W (+4),1,35:55:00,7,7,1.000,0,0,,3,5,.600,2,13,15,1,0,1,2,5,17,16.8,-6
54,52,2020-02-12,27-231,UTA,,MIA,W (+15),1,36:35:00,7,12,.583,0,0,,2,2,1.000,5,15,20,1,0,2,2,3,16,17.3,+25
55,53,2020-02-21,27-240,UTA,,SAS,L (-9),1,37:59:00,7,8,.875,0,0,,4,7,.571,1,13,14,2,0,1,5,4,18,14.1,-6
56,54,2020-02-22,27-241,UTA,,HOU,L (-10),1,33:42:00,3,7,.429,0,0,,6,9,.667,1,5,6,0,0,2,0,2,12,9.9,-12
57,55,2020-02-24,27-243,UTA,,PHO,L (-20),1,36:41:00,3,5,.600,0,0,,7,8,.875,0,8,8,2,1,1,1,3,13,13.6,-12
58,56,2020-02-26,27-245,UTA,,BOS,L (-11),1,34:52:00,4,4,1.000,0,0,,1,2,.500,5,4,9,3,1,2,4,4,9,11.0,-13
59,57,2020-02-28,27-247,UTA,,WAS,W (+10),1,34:37:00,4,4,1.000,0,0,,1,4,.250,1,8,9,0,3,4,3,3,9,11.3,-16
60,58,2020-03-02,27-250,UTA,@,CLE,W (+13),1,33:42:00,8,9,.889,0,0,,4,4,1.000,2,7,9,1,2,5,2,2,20,23.8,+20
61,59,2020-03-04,27-252,UTA,@,NYK,W (+8),1,34:24:00,7,8,.875,0,0,,4,5,.800,4,10,14,1,0,2,1,4,18,20.1,+14
62,60,2020-03-06,27-254,UTA,@,BOS,W (+5),1,32:43:00,4,4,1.000,0,0,,1,2,.500,0,7,7,2,0,3,2,4,9,9.4,-20
63,61,2020-03-07,27-255,UTA,@,DET,W (+6),1,35:07:00,2,3,.667,0,0,,6,10,.600,3,9,12,3,3,2,0,5,10,16.4,+7
64,62,2020-03-09,27-257,UTA,,TOR,L (-9),1,31:31:00,1,4,.250,0,0,,4,6,.667,1,3,4,0,2,1,0,5,6,5.1,-22
65,63,2020-07-30,28-034,UTA,@,NOP,W (+2),1,33:42:00,5,9,.556,0,0,,4,5,.800,2,10,12,0,0,3,3,3,14,11.6,+8
66,64,2020-08-01,28-036,UTA,@,OKC,L (-16),1,28:43:00,5,6,.833,0,0,,0,2,.000,2,5,7,0,2,2,0,4,10,11.7,-14
67,65,2020-08-03,28-038,UTA,,LAL,L (-8),1,33:36:00,6,6,1.000,0,0,,4,5,.800,2,11,13,2,0,1,2,5,16,16.6,-8
68,66,2020-08-05,28-040,UTA,,MEM,W (+9),1,36:55:00,5,9,.556,0,0,,11,12,.917,5,11,16,1,2,3,2,1,21,25.5,+21
69,,2020-08-07,28-042,UTA,@,SAS,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
70,67,2020-08-08,28-043,UTA,@,DEN,L (-2),1,41:09:00,9,16,.563,0,0,,4,8,.500,6,7,13,2,0,1,3,6,22,15.8,+4
71,68,2020-08-10,28-045,UTA,,DAL,L (-8),1,16:18,3,5,.600,0,0,,3,4,.750,2,3,5,3,0,1,0,0,9,11.4,+12
72,,2020-08-13,28-048,UTA,,SAS,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
