Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2015-10-28,23-124,UTA,@,DET,L (-5),1,37:25,.500,.500,0.0,36.7,19.0,4.1,1.4,7.0,33.3,12.0,66,92,5.8,-0.4
2,2,2015-10-30,23-126,UTA,@,PHI,W (+28),1,31:32,.581,.500,20.8,16.5,18.6,9.7,0.0,22.2,12.7,11.3,135,73,15.2,8.7
3,3,2015-10-31,23-127,UTA,@,IND,W (+21),1,31:14,.666,.600,18.3,47.3,32.3,8.9,0.0,8.7,22.8,11.9,126,75,14.1,8.9
4,4,2015-11-04,23-131,UTA,,POR,L (-16),1,30:07,.581,.667,15.6,17.2,16.3,0.0,1.7,12.3,22.5,12.7,105,111,9.9,-0.3
5,5,2015-11-05,23-132,UTA,@,DEN,W (+12),1,34:48,.323,.250,12.0,39.4,25.1,8.1,0.0,8.0,7.5,18.0,86,87,8.9,-2.0
6,6,2015-11-07,23-134,UTA,,MEM,W (+10),1,35:53,.394,.375,6.7,22.7,15.8,9.9,1.4,7.4,31.1,16.7,69,78,5.5,-2.2
7,7,2015-11-10,23-137,UTA,@,CLE,L (-4),1,33:28,.638,.600,15.5,12.3,13.9,22.8,1.5,0.0,14.5,17.9,133,128,15.4,4.6
8,,2015-11-12,23-139,UTA,@,MIA,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,2015-11-13,23-140,UTA,@,ORL,L (-9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
10,8,2015-11-15,23-142,UTA,@,ATL,W (+1),1,37:52,.777,.750,10.9,26.7,19.1,10.8,2.9,7.0,36.1,14.0,114,99,13.7,4.7
11,9,2015-11-18,23-145,UTA,,TOR,W (+4),1,38:37,.717,.750,3.6,11.6,8.0,4.0,0.0,4.1,38.1,9.9,92,102,4.8,-2.0
12,10,2015-11-20,23-147,UTA,@,DAL,L (-9),1,35:58,.645,.500,15.2,24.6,19.5,4.1,3.1,2.4,13.9,9.0,141,110,12.4,5.0
13,11,2015-11-23,23-150,UTA,,OKC,L (-22),1,25:22,.727,.667,17.6,5.6,12.3,0.0,2.0,0.0,42.1,20.1,88,121,5.3,-6.9
14,12,2015-11-25,23-152,UTA,@,LAC,W (+11),1,37:57,.868,1.000,18.1,19.5,18.8,3.7,2.8,4.0,41.0,11.9,111,98,12.6,3.7
15,13,2015-11-28,23-155,UTA,,NOP,W (+14),1,31:46,.625,.600,7.0,44.2,25.2,0.0,1.6,11.6,12.2,11.7,121,85,12.1,3.9
16,14,2015-11-30,23-157,UTA,,GSW,L (-3),1,37:20,.564,.500,9.4,26.4,17.7,11.1,1.4,2.4,0.0,13.9,136,114,15.3,6.1
17,,2015-12-03,23-160,UTA,,ORL,L (-9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
18,,2015-12-05,23-162,UTA,,IND,W (+3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
19,,2015-12-08,23-165,UTA,@,SAC,L (-8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
20,,2015-12-09,23-166,UTA,,NYK,W (+21),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
21,,2015-12-11,23-168,UTA,,OKC,L (-4),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
22,,2015-12-13,23-170,UTA,@,OKC,L (-6),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
23,,2015-12-14,23-171,UTA,@,SAS,L (-37),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
24,,2015-12-16,23-173,UTA,,NOP,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,2015-12-18,23-175,UTA,,DEN,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,,2015-12-21,23-178,UTA,,PHO,W (+21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,,2015-12-23,23-180,UTA,@,GSW,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,,2015-12-26,23-183,UTA,,LAC,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,,2015-12-28,23-185,UTA,,PHI,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,2015-12-30,23-187,UTA,@,MIN,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,,2015-12-31,23-188,UTA,,POR,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,,2016-01-02,23-190,UTA,,MEM,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,,2016-01-04,23-192,UTA,,HOU,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,2016-01-06,23-194,UTA,@,SAS,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
